occ1990dd,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,n_soc_sources
389,0.4363636363636363,0.7,0.9636363636363636,0.3090909090909091,0.5909090909090908,0.8727272727272727,1
405,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0588235294117647,1
408,0.025,0.05,0.075,0.0,0.05,0.1,1
415,0.238095238095238,0.4047619047619047,0.5714285714285714,0.1428571428571428,0.2619047619047618,0.3809523809523809,1
417,0.147823409212436,0.2656641888192906,0.3835049684261452,0.2227325388944058,0.31324876505487226,0.40376499121533876,4
418,0.12366306101760353,0.3591828679289979,0.5947026748403923,0.11725143809055409,0.3167774685843437,0.5163034990781333,3
423,0.16012610577827965,0.19322887257669863,0.22633163937511758,0.13415207980425367,0.22731978166760772,0.32048748353096174,3
425,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.0,0.2631578947368421,0.5263157894736842,1
426,0.1635802469135802,0.33101851851851843,0.49845679012345673,0.12962962962962962,0.31712962962962954,0.5046296296296297,3
427,0.15807629768605375,0.2590456535334584,0.36001500938086306,0.06578111319574732,0.2299508025849489,0.39412049197415044,5
433,0.2222222222222222,0.5111111111111112,0.8,0.0444444444444444,0.2555555555555555,0.4666666666666667,1
434,0.1111111111111111,0.1944444444444444,0.2777777777777778,0.0833333333333333,0.1388888888888889,0.1944444444444444,1
435,0.0816326530612244,0.183673469387755,0.2857142857142857,0.2040816326530612,0.2244897959183673,0.2448979591836734,1
436,0.05279131348096864,0.11953150194529501,0.1862716904096214,0.06973683042648555,0.1293415115919653,0.18894619275744498,6
439,0.0185185185185185,0.037037037037037,0.0555555555555555,0.0,0.0462962962962962,0.0925925925925925,1
444,0.03885303536619323,0.09104810637705371,0.1432431773879142,0.057872807017543826,0.11101764828738511,0.16416248955722637,5
445,0.1333333333333333,0.2666666666666666,0.4,0.0,0.1,0.2,1
447,0.17044470799656652,0.23171337210983273,0.2929820362230989,0.06200205616162477,0.1375607461068616,0.21311943605209843,17
448,0.1632653061224489,0.2653061224489795,0.3673469387755101,0.0816326530612244,0.2551020408163265,0.4285714285714285,1
450,0.1454545454545454,0.3545454545454545,0.5636363636363636,0.0727272727272727,0.2454545454545454,0.4181818181818181,1
451,0.016260162601626,0.046973803071364,0.07768744354110203,0.0185185185185185,0.046973803071364,0.07542908762420954,3
453,0.0,0.0,0.0,0.0,0.0277777777777777,0.0555555555555555,1
455,0.1666666666666666,0.25,0.3333333333333333,0.0833333333333333,0.2291666666666666,0.375,1
457,0.088235294117647,0.1617647058823529,0.2352941176470588,0.0,0.0735294117647058,0.1470588235294117,1
458,0.07208616515420105,0.16871419124307438,0.26534221733194774,0.02187730968218772,0.10591575020329831,0.18995419072440892,5
459,0.1735886010079558,0.22950028191963676,0.2854119628313176,0.12171942413877895,0.2437688929624413,0.3658183617861037,6
461,0.1569230769230769,0.32461538461538464,0.4923076923076923,0.3138461538461539,0.3730769230769231,0.4323076923076923,2
462,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.1428571428571428,0.1999999999999999,0.2571428571428571,1
464,0.10370370370370366,0.3074074074074074,0.5111111111111111,0.4629629629629629,0.4888888888888889,0.5148148148148148,2
466,0.0595238095238095,0.12640056022408955,0.1932773109243697,0.12114845938375345,0.24264705882352938,0.3641456582633053,2
467,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.0,0.0757575757575757,0.1515151515151515,1
468,0.10543611793611793,0.19071560196560194,0.275995085995086,0.2087039312039312,0.3102242014742015,0.41174447174447176,2
469,0.07259259259259257,0.08648148148148144,0.10037037037037033,0.051851851851851836,0.13277777777777777,0.21370370370370373,3
470,0.10465819721718084,0.3572292800967937,0.6098003629764065,0.25589836660617055,0.33998790078644886,0.4240774349667271,3
471,0.16650673400673396,0.26715488215488215,0.36780303030303035,0.033956228956228934,0.17303872053872052,0.31212121212121213,3
472,0.12539184952978055,0.1880877742946708,0.2507836990595611,0.14472309299895503,0.1598746081504702,0.17502612330198536,2
473,0.0408163265306122,0.3673469387755101,0.6938775510204082,0.1020408163265306,0.2448979591836734,0.3877551020408163,1
479,0.023809523809523798,0.06845238095238093,0.11309523809523807,0.0,0.049851190476190466,0.09970238095238093,3
488,0.1,0.1,0.1,0.0,0.05,0.1,1
489,0.0833333333333333,0.2916666666666666,0.5,0.125,0.2916666666666666,0.4583333333333333,1
496,0.07426582761250952,0.15069126620900072,0.22711670480549193,0.025,0.11370137299771163,0.20240274599542332,5
498,0.0,0.043859649122807,0.087719298245614,0.0,0.0087719298245614,0.0175438596491228,1
503,0.0256410256410256,0.4102564102564102,0.7948717948717948,0.0769230769230769,0.2692307692307692,0.4615384615384615,1
505,0.0363636363636363,0.0818181818181818,0.1272727272727272,0.0363636363636363,0.0727272727272727,0.109090909090909,1
507,0.0,0.0,0.0,0.0,0.0,0.0,1
