observation_date,BOGZ1LM105012665Q
2007-04-01,162292
2007-07-01,163602
2007-10-01,164948
2008-01-01,166006
2008-04-01,167015
2008-07-01,167098
2008-10-01,166173
2009-01-01,165629
2009-04-01,164184
2009-07-01,163896
2009-10-01,165908
2010-01-01,166239
2010-04-01,165081
2010-07-01,164981
2010-10-01,165931
2011-01-01,165955
2011-04-01,166187
2011-07-01,165829
2011-10-01,165609
2012-01-01,165635
2012-04-01,166680
2012-07-01,168589
2012-10-01,170776
2013-01-01,172639
2013-04-01,174187
2013-07-01,175805
2013-10-01,178513
2014-01-01,182934
2014-04-01,184021
2014-07-01,187972
2014-10-01,189016
2015-01-01,192344
2015-04-01,195412
2015-07-01,199336
2015-10-01,202796
2016-01-01,204232
2016-04-01,207454
2016-07-01,211161
2016-10-01,214497
2017-01-01,217735
2017-04-01,222123
2017-07-01,226229
2017-10-01,229512
2018-01-01,234821
2018-04-01,238908
2018-07-01,241269
2018-10-01,242805
2019-01-01,244088
2019-04-01,245161
2019-07-01,247087
2019-10-01,248684
2020-01-01,251038
2020-04-01,252195
2020-07-01,258820
2020-10-01,264347
