year,pce_b,DMOTRC,DMOTRC_share_pce,DFDHRC,DFDHRC_share_pce,DREQRC,DREQRC_share_pce,DODGRC,DODGRC_share_pce,DFXARC,DFXARC_share_pce,DCLORC,DCLORC_share_pce,DGOERC,DGOERC_share_pce,DONGRC,DONGRC_share_pce,DHUTRC,DHUTRC_share_pce,DHLCRC,DHLCRC_share_pce,DTRSRC,DTRSRC_share_pce,DRCARC,DRCARC_share_pce,DFSARC,DFSARC_share_pce,DIFSRC,DIFSRC_share_pce,DOTSRC,DOTSRC_share_pce,DNPIRC,DNPIRC_share_pce,detail_sum_b,identity_residual_b,source_vintage
1965,442.973,29.645,0.06692281470879714,20.661,0.046641668905328316,10.086,0.022768882076334224,5.998,0.013540328643054994,74.442,0.16805087443252748,32.659,0.07372684113930193,19.132,0.04318999126357589,37.052,0.0836439241217862,76.618,0.1729631377081673,26.037,0.05877784876279141,12.133,0.027389931214769295,8.975,0.020260828538082455,27.181,0.06136039894079323,18.788,0.04241342023102988,36.603,0.08263031832639912,6.962,0.015716533513329255,442.972,0.0010000000000331966,BEA current Underlying Section2All release downloaded 2026-08-23
1966,479.919,29.927,0.062358439653358175,22.643,0.0471808784399034,12.278,0.025583483879571347,6.897,0.014371175135804168,80.61,0.16796584423621486,35.812,0.07462092561453078,20.656,0.043040596433981566,40.797,0.08500809511605083,81.226,0.1692493941685993,28.678,0.059755917144351446,13.067,0.027227511309200095,9.767,0.020351350957140683,29.635,0.06175000364644868,20.596,0.0429155753366714,39.876,0.0830890212723397,7.455,0.01553387134078876,479.91999999999996,-0.0009999999999763531,BEA current Underlying Section2All release downloaded 2026-08-23
1967,506.685,29.601,0.058420912401196005,23.68,0.046735151030719284,13.577,0.02679574094358428,7.123,0.014058043952356988,82.559,0.16293949889971085,37.547,0.07410323968540611,21.876,0.04317475354510199,43.027,0.08491863781244757,86.344,0.1704096233359977,31.928,0.06301350937959482,14.276,0.028175296288621136,10.451,0.020626227340458075,30.957,0.0610971313537997,22.117,0.04365039422915618,43.572,0.08599425678676101,8.05,0.01588758301508827,506.68500000000006,-5.684341886080802e-14,BEA current Underlying Section2All release downloaded 2026-08-23
1968,556.852,35.414,0.06359679052962008,26.089,0.04685086881253906,15.334,0.027536939797289047,7.991,0.014350312111656239,88.832,0.1595253316859776,41.26,0.07409509169402283,23.217,0.04169330450460804,46.48,0.08346921623698936,92.748,0.16655772090250193,36.576,0.06568352093554482,15.872,0.028503085200376404,11.703,0.02101635623109911,34.594,0.06212422690409661,25.198,0.04525080272675684,46.752,0.08395767636643131,8.793,0.01579055116979018,556.853,-0.0009999999999763531,BEA current Underlying Section2All release downloaded 2026-08-23
1969,603.639,37.448,0.06203707845251881,27.589,0.04570446906180681,16.732,0.02771855363884706,8.714,0.014435780325658216,95.371,0.15799343647444913,44.331,0.07343958889336176,24.968,0.04136246995306798,49.525,0.08204406938584154,100.982,0.16728872720284804,42.058,0.06967409329085761,17.977,0.029781044630979775,12.925,0.021411804074952082,37.461,0.06205861450303907,27.654,0.045812149314408114,50.459,0.08359135178475878,9.444,0.015645112393334427,603.6379999999999,0.00100000000009004,BEA current Underlying Section2All release downloaded 2026-08-23
1970,646.724,34.538,0.053404543514698685,28.152,0.043530161243436144,17.924,0.02771506856093171,9.374,0.014494591201192472,103.506,0.16004663504060462,45.45,0.07027727438598227,26.286,0.040644850044222885,53.564,0.0828235847131079,109.422,0.169194277620747,47.664,0.07370068220755685,20.044,0.03099312844428226,14.002,0.021650657776733195,41.624,0.06436130404933171,30.107,0.04655308910756366,54.595,0.0844177732695864,10.473,0.0161939250746841,646.7249999999999,-0.0009999999998626663,BEA current Underlying Section2All release downloaded 2026-08-23
1971,699.937,43.233,0.061766987600312594,29.943,0.04277956444651447,19.197,0.027426754122156706,10.073,0.014391295216569492,107.125,0.15304948873970087,49.047,0.07007344946759493,27.647,0.03949926921994408,55.851,0.07979432434633403,119.981,0.1714168560884765,53.725,0.07675690812173096,22.359,0.03194430355874886,15.118,0.021599086774952602,43.797,0.06257277440683946,33.086,0.04726996858288674,58.052,0.08293889307180503,11.704,0.01672150493544419,699.9380000000001,-0.00100000000009004,BEA current Underlying Section2All release downloaded 2026-08-23
1972,768.153,49.365,0.064264541048463,33.522,0.043639743644820754,22.591,0.029409505658377955,10.966,0.01427580182593832,114.472,0.14902239527802402,53.491,0.06963586681299168,29.393,0.03826451240833532,60.015,0.07812896649495608,131.185,0.1707797795491263,59.843,0.07790505276943525,24.544,0.03195196790222781,16.329,0.02125748386063714,48.886,0.06364096735936721,37.06,0.04824559690582475,63.678,0.08289754775415835,12.814,0.016681572551301628,768.1539999999998,-0.0009999999997489795,BEA current Underlying Section2All release downloaded 2026-08-23
1973,849.575,54.358,0.06398257952505663,37.961,0.04468234117058529,25.346,0.02983374039961157,12.862,0.015139334373068887,126.715,0.14915104611129093,59.243,0.06973251331548126,34.325,0.04040255421828561,65.826,0.07748109348792041,143.485,0.16889032751669952,67.175,0.07906894623782479,26.078,0.030695347673836915,18.348,0.02159668069328782,54.832,0.06454050554689109,39.936,0.04700703292822882,69.33,0.08160550863667126,13.755,0.0161904481652591,849.5749999999999,1.1368683772161603e-13,BEA current Underlying Section2All release downloaded 2026-08-23
1974,930.161,48.166,0.0517824333636865,40.89,0.043960131633125885,26.585,0.028581073599086612,14.535,0.015626327055208722,143.038,0.15377767934798386,62.422,0.06710881234538967,43.849,0.04714130134460593,72.052,0.07746185875348463,158.579,0.17048553960013377,76.083,0.08179551712015447,28.471,0.03060867957267613,20.948,0.02252083241503353,60.614,0.06516506282245761,44.071,0.047379969704169494,74.36,0.07994314962678505,15.497,0.01666055661331748,930.16,0.0009999999999763531,BEA current Underlying Section2All release downloaded 2026-08-23
