year,real_wage_durables_1950_100,real_wage_food_1950_100,real_wage_energy_1950_100,real_wage_shelter_1950_100,energy_member
2008,411.2818687840341,154.32505530335737,111.50479883208925,101.78469013708279,CPIENGNS
2009,427.49344526147536,156.1386004809259,140.73422977695822,103.69571209964475,CPIENGNS
2010,431.98298854494914,158.66429031896976,131.6192042481975,106.59212290719854,CPIENGNS
2011,435.89537075956423,156.03992527772246,116.41377013176701,107.34583236798467,CPIENGNS
2012,441.39298169174924,154.3207842399407,117.0883085190135,106.62577074396455,CPIENGNS
2013,454.131524014954,155.34950613067164,120.32934348387377,106.36322748327633,CPIENGNS
2014,471.0456430353964,155.20078446165755,123.51610069332976,105.81074457056091,CPIENGNS
2015,486.3113746153731,155.5506093664,151.3818452925473,104.80689592728389,CPIENGNS
2016,506.7562663542166,158.90069079309126,166.00898342845832,103.85271401025703,CPIENGNS
2017,528.5267540088512,161.232526949139,157.43144047521872,102.86617507952616,CPIENGNS
2018,548.7849322849089,163.75416529667933,150.77414301267876,102.54360849996185,CPIENGNS
2019,566.2606175526777,166.43789852855446,159.49074243304753,102.71071515530552,CPIENGNS
2020,589.3466233074492,168.9579970245106,183.08631220098636,105.26050101186338,CPIENGNS
2021,559.3828022502063,170.62111421496536,158.8144580858594,107.6204738390134,CPIENGNS
2022,543.2272986747041,165.09528166530345,135.00400556275514,108.14237769458917,CPIENGNS
2023,577.3625103756913,163.7697427439619,149.11735539186643,105.58004134840034,CPIENGNS
2024,618.927124771589,166.8198717628298,157.40561740271556,104.50492482623075,CPIENGNS
