,w_klp,w_manuf,kpi_total,c04,c041,c05,c081,vv,kpif04,leg_vv,leg_c05,leg_c081,leg_c04,leg_c041,leg_kpif04
2011,146.66666666666666,150.8,92.70833333333333,93.38416666666667,86.65249999999999,100.16583333333334,259.98083333333335,117.96750000000002,82.39583333333333,315.5130390246273,203.3744240402131,5498.323438897759,116.72096682586319,82.6504862235369,94.50198487496978
2012,150.99166666666667,157.3,93.53250000000001,94.68166666666667,88.88666666666666,99.675,230.2458333333333,113.39833333333333,83.73916666666666,342.3737006945559,213.18521472229858,6476.005613413504,120.08357556569166,84.04604295496611,96.99401280385463
2013,154.36666666666667,160.4,93.48916666666668,93.94916666666667,90.8925,97.24583333333334,202.89583333333334,110.3275,85.81916666666666,358.838417520401,222.8168163437468,7493.789835669046,123.40484590208969,83.81108893690464,96.50835434582086
2014,158.45833333333334,163.7,93.3225,93.14,92.46166666666666,96.5,187.85500000000002,107.80916666666667,87.19166666666666,374.7756244087872,229.15849906404804,8260.307107963412,127.03787721957845,84.08376120481067,96.94346521402045
2015,161.39166666666668,167.3,93.27916666666665,90.75916666666666,93.83583333333333,96.2275,177.04166666666666,106.95,88.12833333333333,386.0943960606137,234.86123541542824,8957.58061142953,133.23742283225602,84.67445188306904,98.02237554370615
2016,165.0583333333333,170.5,94.195,91.52833333333332,94.66250000000001,96.95583333333333,150.38,104.30333333333334,90.55,403.46376930712404,237.55547428354032,10747.428794160582,134.64480802220967,85.5404600807628,97.22563043999732
2017,167.75,175.1,95.89,93.795,95.47083333333335,96.62833333333333,136.10333333333332,102.50666666666666,93.59833333333334,421.61143455155246,244.79145870254763,12195.164361952297,134.93581630384946,87.10450177199826,96.59682896222385
2018,171.8083333333333,180.2,97.75999999999999,97.28833333333334,96.48583333333333,97.23,127.20666666666666,101.355,97.67916666666667,438.82155771334345,250.3623987240986,13428.119199209672,133.87972312275042,88.69852601094935,95.2571711306524
2019,175.35,184.0,99.50416666666666,100.12666666666667,98.19916666666667,98.46166666666666,111.46083333333333,100.88833333333334,100.2425,450.14789280573535,252.44411054323808,15648.251260892866,132.82775948867962,88.9887669225742,94.7787055619965
2020,178.01666666666665,184.3,100.0,100.00083333333333,100.00083333333333,99.99916666666667,99.99833333333333,100.0,100.00166666666667,454.8871631736527,248.96801535222377,17470.399938302366,133.21173920357052,87.52797569002296,95.1618631265893
2021,182.08333333333334,189.1,102.16416666666667,104.18666666666667,101.45833333333333,101.31416666666667,89.41583333333334,97.79166666666667,105.18916666666667,477.27427547971797,252.13663660283993,20046.90692520587,131.18982951680462,88.51746609450504,92.82508456557221
2022,185.84166666666667,195.0,110.71416666666666,116.43666666666667,103.27416666666666,112.63666666666667,86.06333333333333,104.57249999999999,114.765,460.2517692865006,233.86725852842864,21477.64808699345,121.05023299140461,89.67431757695142,87.73441600407425
2023,192.35,203.9,120.17666666666666,130.60583333333332,106.75416666666666,122.33583333333333,88.3975,110.59416666666668,116.31083333333333,455.05443492014257,225.15321053702624,21864.901066951763,112.84321045072885,90.7104996906776,90.51944816424495
2024,199.14166666666665,211.4,123.58583333333333,138.17083333333332,111.81166666666667,121.71499999999999,81.80583333333334,109.32833333333333,119.57166666666666,477.2551258596881,234.62564662401772,24495.763677550825,110.58835256118446,89.7931134020361,91.28964946126646
2025,205.92499999999998,217.8,124.425,134.71583333333334,117.68583333333333,120.61,74.78166666666667,107.925,124.99583333333334,498.09727313961383,243.94344963997878,27607.876842539485,116.85842154697403,87.89392459142528,89.97195935412049
