degree_level,field,is_panel_total,total,closely,somewhat,not_related,share_closely,share_somewhat,share_not_related
All degrees,Political and related sciences,False,1025000,253000.0,370000.0,403000.0,0.24682926829268292,0.36097560975609755,0.3931707317073171
All degrees,Psychology,False,2502000,1088000.0,720000.0,695000.0,0.4348521183053557,0.28776978417266186,0.2777777777777778
All degrees,Sociology and anthropology,False,945000,225000.0,284000.0,436000.0,0.23809523809523808,0.30052910052910053,0.4613756613756614
All degrees,Other social sciences,False,599000,199000.0,167000.0,233000.0,0.332220367278798,0.27879799666110183,0.38898163606010017
All degrees,Engineering,False,4274000,2536000.0,1302000.0,436000.0,0.5933551708001872,0.3046326626111371,0.1020121665886757
All degrees,"Aerospace, aeronautical, and astronautical engineering",False,175000,100000.0,47000.0,28000.0,0.5714285714285714,0.26857142857142857,0.16
All degrees,Chemical engineering,False,277000,128000.0,97000.0,52000.0,0.4620938628158845,0.35018050541516244,0.18772563176895307
All degrees,Civil and architectural engineering,False,554000,378000.0,126000.0,50000.0,0.6823104693140795,0.22743682310469315,0.09025270758122744
All degrees,Electrical and computer engineering,False,1459000,981000.0,383000.0,95000.0,0.6723783413296779,0.26250856751199453,0.06511309115832763
All degrees,Industrial engineering,False,274000,126000.0,116000.0,32000.0,0.45985401459854014,0.4233576642335766,0.11678832116788321
All degrees,Mechanical engineering,False,917000,485000.0,337000.0,95000.0,0.5288985823336968,0.3675027262813522,0.10359869138495092
All degrees,Other engineering,False,619000,339000.0,197000.0,84000.0,0.5476575121163166,0.3182552504038772,0.13570274636510501
All degrees,S&E-related fields,False,8562000,6683000.0,1096000.0,783000.0,0.7805419294557346,0.12800747488904463,0.09145059565522075
All degrees,Health,False,6868000,5583000.0,766000.0,519000.0,0.8129004076878276,0.11153174140943506,0.07556785090273734
All degrees,Science and mathematics teacher education,False,545000,373000.0,78000.0,94000.0,0.6844036697247706,0.14311926605504588,0.1724770642201835
All degrees,Technology and technical fields,False,561000,315000.0,151000.0,95000.0,0.5614973262032086,0.26916221033868093,0.16934046345811052
All degrees,Other S&E-related fields,False,588000,413000.0,101000.0,74000.0,0.7023809523809523,0.1717687074829932,0.12585034013605442
All degrees,Non-S&E fields,False,29938000,14785000.0,8867000.0,6287000.0,0.49385396486071215,0.29617876945687754,0.21000066804729775
All degrees,Management and administration fields,False,10130000,4709000.0,3800000.0,1620000.0,0.4648568608094768,0.3751233958538993,0.15992102665350444
All degrees,"Education, except science and math teacher education",False,5245000,3587000.0,940000.0,719000.0,0.6838894184938036,0.17921830314585319,0.13708293612964728
All degrees,Social service and related fields,False,1520000,898000.0,280000.0,341000.0,0.5907894736842105,0.18421052631578946,0.2243421052631579
All degrees,Sales and marketing fields,False,1451000,563000.0,619000.0,269000.0,0.38800827015851136,0.4266023432115782,0.18538938662991042
All degrees,Art and humanities fields,False,4944000,1779000.0,1363000.0,1801000.0,0.3598300970873786,0.27568770226537215,0.3642799352750809
All degrees,Other non-S&E fields,False,6648000,3248000.0,1865000.0,1536000.0,0.48856799037304455,0.2805354993983153,0.23104693140794225
Bachelor's,Bachelor's,True,34311000,14948000.0,10669000.0,8694000.0,0.4356620325843024,0.310949841158812,0.25338812625688556
Bachelor's,S&E fields,False,12176000,5013000.0,3995000.0,3168000.0,0.4117115637319317,0.32810446780551905,0.26018396846254926
Bachelor's,"Biological, agricultural, and environmental life sciences",False,1902000,752000.0,612000.0,538000.0,0.3953732912723449,0.3217665615141956,0.28286014721345953
Bachelor's,Agricultural and food sciences,False,300000,125000.0,107000.0,69000.0,0.4166666666666667,0.3566666666666667,0.23
Bachelor's,Biological sciences,False,1359000,556000.0,420000.0,383000.0,0.4091243561442237,0.3090507726269316,0.28182487122884475
Bachelor's,Environmental life sciences,False,243000,71000.0,85000.0,86000.0,0.29218106995884774,0.3497942386831276,0.35390946502057613
Bachelor's,Computer and mathematical sciences,False,2428000,1413000.0,691000.0,324000.0,0.5819604612850082,0.28459637561779244,0.13344316309719934
Bachelor's,Computer and information sciences,False,1895000,1200000.0,487000.0,209000.0,0.633245382585752,0.2569920844327177,0.11029023746701846
Bachelor's,Mathematics and statistics,False,533000,213000.0,204000.0,115000.0,0.399624765478424,0.3827392120075047,0.21575984990619138
Bachelor's,Physical and related sciences,False,541000,232000.0,158000.0,152000.0,0.4288354898336414,0.2920517560073937,0.2809611829944547
Bachelor's,"Chemistry, except biochemistry",False,209000,104000.0,63000.0,43000.0,0.49760765550239233,0.3014354066985646,0.20574162679425836
Bachelor's,"Earth, atmospheric, and ocean sciences",False,196000,89000.0,41000.0,67000.0,0.45408163265306123,0.20918367346938777,0.34183673469387754
Bachelor's,Physics and astronomy,False,121000,35000.0,49000.0,37000.0,0.2892561983471074,0.4049586776859504,0.30578512396694213
Bachelor's,Other physical sciences,False,15000,,5000.0,5000.0,,0.3333333333333333,0.3333333333333333
Bachelor's,Social and related sciences,False,4403000,1021000.0,1578000.0,1804000.0,0.23188734953440837,0.358392005450829,0.4097206450147627
Bachelor's,Economics,False,821000,238000.0,360000.0,223000.0,0.28989037758830694,0.438489646772229,0.27161997563946405
Bachelor's,Political and related sciences,False,740000,131000.0,265000.0,344000.0,0.17702702702702702,0.3581081081081081,0.4648648648648649
Bachelor's,Psychology,False,1619000,408000.0,596000.0,615000.0,0.2520074119827054,0.36812847436689317,0.37986411365040146
Bachelor's,Sociology and anthropology,False,811000,153000.0,241000.0,418000.0,0.18865598027127004,0.2971639950678175,0.5154130702836005
Bachelor's,Other social sciences,False,411000,91000.0,115000.0,204000.0,0.22141119221411193,0.2798053527980535,0.49635036496350365
Bachelor's,Engineering,False,2902000,1596000.0,956000.0,351000.0,0.5499655410062027,0.3294279807029635,0.12095106822880772
Bachelor's,"Aerospace, aeronautical, and astronautical engineering",False,115000,60000.0,35000.0,19000.0,0.5217391304347826,0.30434782608695654,0.16521739130434782
