year,private_wages,government_wages,supplements,proprietors,rental,interest,dividends,transfers,employee_comp,resource_total,employee_comp_share,proprietors_share,rental_share,interest_share,dividends_share,transfers_share
1980,1111.961,261.461,248.826,171.569,18.978,333.527,64.196,271.498,1622.248,2482.016,0.6536009437489525,0.06912485656820906,0.007646203731160477,0.1343774576795637,0.02586445856916313,0.10938607970295114
1981,1225.524,285.849,281.152,179.68,23.78,414.198,69.733,307.809,1792.5249999999999,2787.7250000000004,0.643006394102718,0.0644539902608758,0.008530253163421786,0.14857921782098304,0.02501430377817037,0.1104158408738308
1982,1279.98,307.537,305.465,171.191,23.833,481.759,73.124,343.079,1892.982,2985.968,0.6339592386790481,0.05733182673089598,0.00798166624692562,0.16134097887184326,0.024489210868971135,0.1148970786023159
1983,1352.718,324.795,334.976,186.25,24.435,518.213,81.986,370.499,2012.489,3193.8719999999994,0.6301094721391466,0.05831479783785951,0.007650588376741461,0.16225227560778893,0.025669782633743626,0.11600308340472007
1984,1496.777,348.138,370.957,228.247,24.652,590.927,85.81,380.909,2215.872,3526.417,0.6283635769677834,0.06472490349269529,0.006990665029121627,0.16757150388056774,0.024333480697262974,0.10801586993256895
1985,1608.687,373.863,404.774,241.051,26.204,630.517,93.794,403.112,2387.324,3782.0020000000004,0.6312328761327994,0.06373634916110567,0.006928605537490461,0.16671514187459446,0.024800092649342857,0.10658693464466702
1986,1705.115,397.22,439.729,256.479,18.268,663.145,103.121,428.607,2542.064,4011.6839999999997,0.6336650643470423,0.06393300170202837,0.0045536986462542915,0.16530339877218644,0.025705165212414536,0.10683967132007408
1987,1833.15,423.117,466.139,286.468,16.594,674.343,101.967,447.913,2722.4060000000004,4249.691000000001,0.6406126939582195,0.06740913633485351,0.003904754486855632,0.15868047818064887,0.023993979797589986,0.10539895724183239
1988,1987.745,452.037,508.205,325.524,22.492,720.069,127.971,476.864,2947.9869999999996,4620.906999999999,0.6379671783050384,0.07044591029423446,0.004867442690363603,0.15582849860427836,0.027693913770608244,0.103197056335477
1989,2101.945,481.106,556.55,341.13,21.524,802.26,157.486,521.07,3139.6010000000006,4983.071,0.6300534349199521,0.06845778436630745,0.0043194247081769456,0.16099710399470527,0.031604205519046386,0.10456804649181199
