year,legal_form_tier,proprietor_effort_tier,employee_comp_share_resources,proprietors_share_resources,rental_share_resources,interest_share_resources,dividends_share_resources,transfers_share_resources,proprietor_effort_share_low,proprietor_effort_share_mid,proprietor_effort_share_high,transfer_wage_exposure_low,transfer_wage_exposure_mid,transfer_wage_exposure_high,labor_origin_current_resource_share_low,labor_origin_current_resource_share_mid,labor_origin_current_resource_share_high,ownership_origin_current_resource_share_mid,fiscal_nonlabor_or_unresolved_current_resource_share_mid
1960,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6890090790587052,0.11568824753584743,0.03764950716948339,0.07122144212957669,0.0305669266128479,0.05586479749353947,0.6349594630978533,0.7077107488834469,0.7725679840929709,0.6709338471568955,0.7919452711056478,0.9150797024921031,0.7999480101037796,0.8151247575555964,0.8295068575108931,0.17325230714714723,0.011622935297256236
1961,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.680420234930001,0.11660795973881079,0.037701026476203416,0.07323205200988117,0.030469881921261845,0.06156884492384173,0.6304149037757658,0.7030857969078842,0.7681121032888416,0.6896692639157121,0.803790889443483,0.919914648752442,0.7963937706069985,0.8118941118521079,0.826626302497409,0.17602551984739298,0.012080368300499114
1962,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6829726606990868,0.11355534265613501,0.037100693659206506,0.0761791589741903,0.030893944564828562,0.05929819944655289,0.6258471055848591,0.6984188486874474,0.7635956359428173,0.6893937822828875,0.8036167139595025,0.9198435567181653,0.7949207532231499,0.8099348765622473,0.824228091475203,0.17841994817415396,0.011645175263598866
1963,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6836228844559332,0.11002877627664244,0.036537092132858606,0.07894259376676582,0.03167536458079305,0.059193288787006776,0.6212567698165118,0.6937105010449078,0.759018799658661,0.6872313034199338,0.8022494692590544,0.9192854976567568,0.7926584875992311,0.8074387864892351,0.8215523260938454,0.18085570923683225,0.011705504273932655
1964,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6855940903694978,0.10782778044212817,0.03433851270895143,0.08195582365201598,0.033176936977678415,0.0571068558497282,0.6166446133590077,0.6889613821219566,0.7543818566976709,0.684639040319574,0.800610490008505,0.9186165265340831,0.7911830933342201,0.8056036148587453,0.8193967131449792,0.1830098771362225,0.011386508005032245
1965,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6850436542871094,0.10757186862653323,0.032672703524278944,0.0832667296374337,0.034141082680391815,0.057303961244252785,0.6120113683149399,0.684172151351199,0.7496851148785887,0.6862423837087739,0.8016242167965145,0.9190302925700065,0.7902032677576404,0.8045775741219553,0.8183527592438226,0.18405470768555393,0.011367718192490826
1966,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.691618352058772,0.10458278039663652,0.03065142357465492,0.08358863357154513,0.031821442756811515,0.057737367641580016,0.6073577815969029,0.6793434993831398,0.744928928427463,0.6812947895466063,0.7984299254000063,0.9176071437517623,0.7944736852900545,0.8087652262075008,0.8225053116009388,0.17959664828977856,0.011638125502720541
1967,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6899193502193812,0.09948763331844061,0.02913387405345339,0.08514050703967191,0.03080214455098464,0.0655164908180683,0.6026846145018016,0.6744761479671633,0.7401136987735312,0.6674343813014257,0.7894799828392718,0.9136173643785165,0.7936069746678002,0.8087453439571104,0.8234085141614499,0.1774621232715591,0.013792532771330428
1968,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6921436787155297,0.09628310090216503,0.026206864174475954,0.08515926773097278,0.030691607700352886,0.06951548077650353,0.5979926422641968,0.6695708497857148,0.7352398752872759,0.6653835861808064,0.7881641870013424,0.9130457187290141,0.7959747245235586,0.8114016487968165,0.8264056659234854,0.1738724828169003,0.01472586838628318
1969,STRONG_LEGAL_FORM,WEAK_LOGIT_BACKCAST,0.6948469443559394,0.09154924554053347,0.02419120898978995,0.09048401439964239,0.02881711788399443,0.07011146883010039,0.593282653589145,0.664628388240884,0.7303079559567678,0.6546321467357844,0.7813590410445951,0.9102546417992234,0.795058745035359,0.8104754019155284,0.8255253766819911,0.17419535930568655,0.01532923877878513
