"ref_area","source","indicator","sex","classif1","classif2","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_AGR","INS_SECTOR_PRI","2025",2439.732,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MAN","INS_SECTOR_TOTAL","2025",15783.656,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MAN","INS_SECTOR_PUB","2025",126.314,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MAN","INS_SECTOR_PRI","2025",15657.342,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_CON","INS_SECTOR_TOTAL","2025",12583.541,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_CON","INS_SECTOR_PUB","2025",360.061,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_CON","INS_SECTOR_PRI","2025",12223.48,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MEL","INS_SECTOR_TOTAL","2025",2690.858,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MEL","INS_SECTOR_PUB","2025",364.371,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MEL","INS_SECTOR_PRI","2025",2326.486,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MKT","INS_SECTOR_TOTAL","2025",76550.346,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MKT","INS_SECTOR_PUB","2025",3828.664,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_MKT","INS_SECTOR_PRI","2025",72721.682,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_PUB","INS_SECTOR_TOTAL","2025",53395.855,"B",,"I11:264","R1:3513_R1:2803_T2:85"
"USA","BA:453","EMP_TEMP_SEX_ECO_INS_NB","SEX_T","ECO_AGGREGATE_PUB","INS_SECTOR_PUB","2025",17212.33,"B",,"I11:264","R1:3513_R1:2803_T2:85"
