year,human_effort_share,domestic_capital_total_share,identified_it_rd_software_art_capital_share,other_capital_mixed_share,foreign_content_share,college_labor_share_digitized,noncollege_labor_share_digitized,indirect_import_share_digitized,direct_import_share_digitized,method
2013,0.4595238095238092,0.42462123107817584,0.06756568596398538,0.35705554511419046,0.11585495939801493,0.24285714285714255,0.21666666666666665,0.06325970950123752,0.052595249896777406,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2014,0.459047308459107,0.4274502571031034,0.07148373566748523,0.3559665214356182,0.11350243443778957,0.24238064179244037,0.21666666666666662,0.06233574139557528,0.051166693042214294,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2015,0.4680966778398996,0.4226601517693761,0.06789257650027475,0.35476757526910135,0.10924317039072431,0.2527650967364157,0.21533158110348397,0.05802075572142452,0.05122241466929979,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2016,0.4717001138823953,0.42212119375022183,0.06862770538444868,0.35349348836577316,0.10617869236738284,0.2594012755267566,0.21229883835563867,0.05731407712007829,0.04886461524730454,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2017,0.4751840386564132,0.41939903901533093,0.06924175961696749,0.35015727939836344,0.10541692232825586,0.26116773935379495,0.21401629930261823,0.05660739851873207,0.0488095238095238,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2018,0.47307545776468307,0.4228445957679421,0.072844595767942,0.3500000000000001,0.10407994646737487,0.26571105203721157,0.2073644057274715,0.05648676917454378,0.047593177292831086,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2019,0.47494601135852366,0.4229250766686471,0.07339687398835426,0.34952820268029283,0.10212891197282928,0.26938694857714807,0.20555906278137556,0.05331173954015157,0.04881717243267771,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2020,0.48517326373926495,0.42239434902384565,0.07995551523342959,0.34243883379041606,0.09243238723688943,0.2860969774654962,0.1990762862737687,0.04218979486133654,0.05024259237555289,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2021,0.47377919765307375,0.4216466699534105,0.07467223516614102,0.34697443478726947,0.10457413239351576,0.27644143114687836,0.19733776650619542,0.05212028544220857,0.05245384695130719,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2022,0.47616371393167345,0.4115128499289202,0.07212039905960732,0.33939245086931286,0.11232343613940637,0.27346845325103236,0.20269526068064106,0.05994468024899152,0.05237875589041486,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
2023,0.47225903771470273,0.43415352669686247,0.08374138866157177,0.3504121380352907,0.09358743558843487,0.267637227304715,0.20462181040998773,0.04371091409861297,0.0498765214898219,"Digitized grouped lines from BEA WP2026-01 Figure 9; capital total = residual to 100%. Approximate, not underlying microdata."
