year,wbar_us,H_narrow_tot,Hrel_narrow_tot,wrel_narrow_tot,bridge_cover_narrow_tot,lampurged_narrow_tot,H_narrow_dom,Hrel_narrow_dom,wrel_narrow_dom,bridge_cover_narrow_dom,lampurged_narrow_dom,H_medium_tot,Hrel_medium_tot,wrel_medium_tot,bridge_cover_medium_tot,lampurged_medium_tot,H_medium_dom,Hrel_medium_dom,wrel_medium_dom,bridge_cover_medium_dom,lampurged_medium_dom,H_broad_tot,Hrel_broad_tot,wrel_broad_tot,bridge_cover_broad_tot,lampurged_broad_tot,H_broad_dom,Hrel_broad_dom,wrel_broad_dom,bridge_cover_broad_dom,lampurged_broad_dom,rho_machinery_direct,rho_aggregate
2007,30.766528201524032,0.0162875944654981,0.5011127344577341,1.1194223878796967,0.9999999999999996,0.5029832792877338,0.013251518442863049,0.4077032158853618,1.1424321472757943,0.9999999999999999,0.41739351557798865,0.015809713283734112,0.48640998960201465,1.1933330537453548,0.9999999999999998,0.5229410952501788,0.01353871348812567,0.4165392103447722,1.2222769340095225,1.0000000000000002,0.4587708915873189,0.015091189971552106,0.4643035218543145,1.2060082673036452,0.9999999999999996,0.5049137463546535,0.01300015677931799,0.39996969017512074,1.2357467900209445,1.0000000000000002,0.44579782046372385,0.10931551987007944,0.08661723136901855
2008,31.633157760603755,0.01596020785819153,0.5048717730702004,1.0736173759013783,1.0000000000000002,0.48418852230010856,0.012938563064659315,0.4092876066198889,1.094278410474148,0.9999999999999999,0.39986469460693724,0.015441199680252296,0.48845390549840517,1.1571530955109337,0.9999999999999998,0.5054929882475341,0.013197868125545452,0.41749024451902306,1.1857652880775376,0.9999999999999997,0.44262235674940176,0.014707100156786087,0.4652320194606145,1.1693366482844179,0.9999999999999996,0.4869991659081129,0.012642850897541316,0.3999332969857152,1.1986801211943792,0.9999999999999998,0.4290906077533753,0.10829024719333706,0.09120672941207886
2009,32.10533714983212,0.015076909152246477,0.4840492515102627,1.1184283570541387,1.0000000000000002,0.4760979846562596,0.012796881958352588,0.4108482097395137,1.1356648725794298,1.0000000000000002,0.4100098443095034,0.014503298026122345,0.46563327291315254,1.2075162545193217,1.0,0.496105202559993,0.012864675890002682,0.41302475677185263,1.2305651364211811,0.9999999999999998,0.44833711180331065,0.013760043072734617,0.44177082204635676,1.2196273837397975,1.0000000000000002,0.4760239641175376,0.01225677844550072,0.39350800436359584,1.2431754360018217,1.0000000000000004,0.43214328811325836,0.13261447213923513,0.09920734912157059
2010,32.66912714472048,0.01412375168658003,0.46141063960934325,1.140557446225129,1.0000000000000002,0.4666450831079169,0.01180325406221651,0.38560200767998964,1.1632362110247827,1.0000000000000002,0.3974692687345336,0.013704680780063067,0.4477199588816873,1.2210602632265735,1.0000000000000002,0.48445521889344645,0.012013199911020558,0.39246075530807534,1.2478573332545204,0.9999999999999999,0.43373043038691855,0.01312212660768136,0.4286884225554619,1.2295995156574384,0.9999999999999997,0.46763468601218144,0.0115533071878492,0.3774364614618585,1.256492042205893,0.9999999999999996,0.4205416486718406,0.12126512080720837,0.09699361026287079
2011,33.33546939104156,0.014078036644164217,0.46929795963749776,1.140933281242345,0.9999999999999998,0.47514019023952336,0.011616132328551321,0.38722922368071094,1.1679007268347639,0.9999999999999999,0.40122973462213585,0.01363528101324632,0.4545384928553229,1.216303057282771,1.0000000000000007,0.49077966977748866,0.011840590628546848,0.394711646469777,1.246060149083296,0.9999999999999999,0.43654003619299797,0.013060574287216669,0.43538037438093574,1.2247157242067706,1.0000000000000002,0.47374991429163194,0.011392776376545559,0.37978354817931587,1.254602991376797,0.9999999999999999,0.42330571870644407,0.11409654151697472,0.09970299899578094
2012,34.02003943055186,0.013717358829235584,0.4666650882536233,1.1602429968475343,0.9999999999999998,0.48409123600659626,0.011439662032307044,0.3891777534112727,1.1866570825697182,1.0,0.4126025186110366,0.013232833356011546,0.4501815125494347,1.2409984976638258,1.0,0.4996405950207598,0.011568515986269217,0.39356137000584834,1.27062072136531,1.0000000000000002,0.4470027468381708,0.012660303030772238,0.4307040083096068,1.249507326579852,0.9999999999999999,0.481720291149099,0.0111112374805585,0.3780047372108259,1.2793172019409018,0.9999999999999998,0.43269257394764643,0.11710036467885761,0.09171504527330399
2013,34.40357804981389,0.013411245194159935,0.46139482078247274,1.131175791488348,1.0000000000000002,0.4643534988709088,0.011193333927932122,0.3850907374272426,1.1533502390786037,1.0000000000000002,0.3947643460754661,0.013112231171532754,0.45110766851702966,1.2063435695510347,1.0,0.48648546176238633,0.011522096345355426,0.39640134091491075,1.2310224662257827,1.0000000000000004,0.43615873370470104,0.012565298508540719,0.4322912279577907,1.214498951402322,1.0000000000000002,0.46981367650511624,0.011084651555622068,0.38135167494883476,1.2393664164432134,0.9999999999999999,0.42290267679068194,0.11361317835121366,0.09209863841533661
2014,35.25953614550032,0.013571813185403899,0.4785358375707266,1.1065368710893624,1.0000000000000002,0.47396938535758043,0.011225045190615469,0.39578988663338066,1.1277103573461442,0.9999999999999998,0.3994028358340074,0.013273387464977183,0.46801348509459384,1.1850648799721188,0.9999999999999997,0.49746750841315285,0.011605935513799766,0.4092199027511687,1.2095821328251506,0.9999999999999996,0.4439819683971649,0.01270250741803675,0.4478845194447527,1.1942164846325618,1.0,0.4799553249269188,0.01115230567720633,0.393225125131125,1.219047969754767,0.9999999999999999,0.43016848061021173,0.10745981642040058,0.09724549949169159
2015,36.28172005338716,0.013225643634453487,0.4798490998711033,1.1141733095061488,0.9999999999999994,0.4760739252074311,0.011096605930277061,0.40260394990506815,1.1335589171438605,0.9999999999999999,0.4061562250247591,0.012910862007861772,0.4684282810171529,1.2083480786976208,0.9999999999999998,0.505866867149887,0.011439152252103018,0.415032119658875,1.2322983878031868,0.9999999999999999,0.45706980738035324,0.01227966633458812,0.445527416300529,1.219028956024511,0.9999999999999999,0.48581981221848214,0.010917693767478094,0.39611270890025,1.2434557431300888,0.9999999999999998,0.4406042368127889,0.11356215526862308,0.09400053322315216
2016,36.73656009746139,0.01337737568245183,0.49143876570471023,1.1207590318672362,1.0000000000000004,0.4948889860668769,0.011257282287845394,0.41355382730151996,1.139234445437368,0.9999999999999996,0.42315168644746476,0.012842271958983091,0.47178089560912556,1.2153353012276658,1.0000000000000002,0.5148563121148534,0.011430718397338566,0.4199252733609858,1.2379328457274095,1.0000000000000002,0.4666147143846799,0.012170610787217317,0.4471063746074209,1.2254244503509013,1.0000000000000002,0.4924430339043407,0.010865225847967239,0.3991510223363394,1.248546909151908,1.0,0.44779273782797185,0.10368806939742177,0.08805763721466064
2017,37.95566336036686,0.01268016478428357,0.48128406590624606,1.1769474380613094,1.0,,0.010631632682350992,0.40353067106238844,1.203644606562302,1.0000000000000002,,0.012271726065617933,0.46578150339723356,1.258049738687095,0.9999999999999997,,0.01092541510486673,0.41468137779258885,1.2836820360810084,1.0,,0.01166753123378039,0.4428488877559343,1.2656028047300352,0.9999999999999999,,0.010416707834612047,0.3953730558938309,1.2914446232416943,1.0,,,
2018,39.275877073719684,0.012283849395337651,0.4824589588433674,1.1614416572582744,0.9999999999999999,,0.01028766619729904,0.40405711294057833,1.1855591470895368,0.9999999999999998,,0.01185520403543995,0.465623536379805,1.255746522825317,0.9999999999999997,,0.010568549443510985,0.415089048790866,1.280785531434426,0.9999999999999996,,0.011316070428725329,0.4444485911161704,1.2618285962562845,1.0,,0.010113854176565903,0.39723049338032884,1.2869694146948794,0.9999999999999999,,,
2019,40.53936178554396,0.012059518015841061,0.488885163803466,1.1400787939067698,0.9999999999999998,,0.010196877563409772,0.4133749086259647,1.1623209092671476,1.0,,0.011396481565715249,0.46200608927481296,1.2584050515803107,0.9999999999999998,,0.010231983695212388,0.41479808880400193,1.2841949677793765,1.0,,0.01085669210247735,0.4401233689365872,1.2653825384323785,1.0000000000000002,,0.0097701465600644,0.3960755060962385,1.2912914243390892,1.0,,,
2020,44.23941235498878,0.011457191626427284,0.5068594247916411,1.1163484129552093,0.9999999999999998,,0.009745376871704464,0.43112974598210435,1.136652343419099,0.9999999999999994,,0.010640261460825126,0.470718914330338,1.252055629716677,1.0000000000000002,,0.009621885251468258,0.4256665492720892,1.276866867969055,1.0000000000000002,,0.010164708726186845,0.4496807408061326,1.2570711242968935,0.9999999999999996,,0.009210296149905409,0.40745808928723093,1.2818004544425463,0.9999999999999997,,,
2021,45.842909459889874,0.010785287021223555,0.49442893641287683,1.1461212419211886,0.9999999999999999,,0.008984819412972196,0.41189026286234526,1.1760761287207728,0.9999999999999999,,0.009951382757550923,0.4562003387551162,1.3132542103060363,1.0,,0.008895977872201583,0.40781750815252094,1.3485506125350186,1.0,,0.009581461285605249,0.43924206220944145,1.3112656452540312,0.9999999999999999,,0.008586109979598883,0.3936122624074085,1.3454645201978017,1.0000000000000002,,,
2022,47.210735554982925,0.010418968142878118,0.4918871497492104,1.1137638030452375,1.0000000000000002,,0.008608581297430959,0.40641745513658484,1.1380074410694783,0.9999999999999998,,0.009789558397458648,0.46217225270248263,1.2597354523757767,0.9999999999999999,,0.008727884941176222,0.41204986791218834,1.2893420245318443,1.0000000000000002,,0.00942824888513314,0.4451145648625833,1.2612313112013172,1.0000000000000002,,0.008422985668099483,0.3976553489600559,1.2904215122077194,1.0,,,
2023,48.98812465207138,0.009835382593317,0.4818169484822262,1.1345285792761985,1.0,,0.008330673167181585,0.40810405554955775,1.1547540483691028,0.9999999999999999,,0.009043194546700318,0.44300914170668726,1.304582687842193,1.0,,0.008195695189735754,0.4014917375651569,1.3318283739339747,1.0000000000000002,,0.008738143618615081,0.42806526881641765,1.3037617354533018,1.0,,0.007932495471184185,0.38859807694436255,1.3304175539374854,1.0000000000000002,,,
