year,recon_err,lam_narrow_tot,res_nw_narrow_tot,lam_narrow_dom,res_nw_narrow_dom,lam_narrow_domp,direct_narrow,lam_medium_tot,res_nw_medium_tot,lam_medium_dom,res_nw_medium_dom,lam_medium_domp,direct_medium,lam_broad_tot,res_nw_broad_tot,lam_broad_dom,res_nw_broad_dom,lam_broad_domp,direct_broad
2007,6.056436239120812e-05,0.5609568138036011,0.43904308011857635,0.4657732603751606,0.3519019462439363,0.3046120454373756,0.24557735888290697,0.5804491182640185,0.41955085844322143,0.5091262689149557,0.3537776410695924,0.390825073878077,0.3203556670993568,0.559953885894502,0.44004610309196984,0.4942612607395771,0.37904668811520703,0.3875722948569713,0.2903785864875295
2008,6.484189565331491e-05,0.5420391081703047,0.457960873463902,0.4478745915987804,0.36415997712693055,0.29241912911557233,0.2441868377230854,0.5652159487618846,0.4347840319701607,0.49504544006166107,0.36442831445875135,0.38179592730682194,0.3161578728060823,0.544012850310666,0.45598713415687286,0.4793920929005047,0.39072078829944673,0.3774385803268311,0.2839779350274723
2009,8.316674133296287e-05,0.5413744090999086,0.4586254537964492,0.46658587976331173,0.3912842378062172,0.30534125940942847,0.2731663110528418,0.562259745687663,0.4377402408768491,0.50825386616228,0.38880569413132693,0.39647786786518596,0.336605369222898,0.5387957919049777,0.4612041902766785,0.48919948489492,0.4160178832422167,0.3892264051320798,0.3026517358743523
2010,7.19274152156113e-05,0.5262653407739358,0.47373447457798135,0.44854621837722036,0.3982107613985059,0.28116035610000945,0.26303124965671343,0.5466930508438638,0.45330682589939025,0.4897350315257898,0.3977477741633054,0.3719491250843454,0.32567227197791937,0.5271150767421473,0.4728848158950315,0.4742459102651764,0.4210358888280123,0.36803377912263996,0.29224715854962213
2011,5.364522617692241e-05,0.5354376609695479,0.46456241306233864,0.45224529178836376,0.3824941577907631,0.2790943382579292,0.2586355292912944,0.5528565585126323,0.44714347354324013,0.4918344530450436,0.386795255767612,0.3695319031479596,0.3234278147078194,0.5332171905153626,0.4667828368856225,0.4764775756214636,0.41032095650999495,0.36615346764990364,0.29065605907457637
2012,7.458250673880729e-05,0.541444900519503,0.45855510725655224,0.46182053746405816,0.38247533106745896,0.2811927019287085,0.25685219259128256,0.5586745807498772,0.44132543664893514,0.5000672318583507,0.3852323338390766,0.37330481404349525,0.3271687009206329,0.5381678139701631,0.4618322121674884,0.48358796272895976,0.40932527219216924,0.36922591461102905,0.29433473264217136
2013,7.231101942917206e-05,0.521918651587238,0.47808128713050746,0.444144494078666,0.4023943396872005,0.27022232708131766,0.24742526796865827,0.5441908350906784,0.45580914956814694,0.4879789563082807,0.4010660671076209,0.3679158990043152,0.32058526296606177,0.5250172430551588,0.47498277866812827,0.47263445878595456,0.4237255401484231,0.3646100954511527,0.28598436947247236
2014,9.209835865231497e-05,0.5295175484096392,0.4704824026866736,0.4463363544893196,0.39219487717082546,0.2640548018120171,0.25084857968295377,0.5546263445389579,0.4453736525488395,0.49498508276425945,0.3892212531084527,0.37027587917799804,0.32637057397344504,0.5348710763326568,0.46512890592883316,0.4793602904476621,0.41264991125003797,0.3674141567713246,0.2900984809170772
2015,7.839202251624933e-05,0.5346350596669337,0.4653648463648456,0.4563752974922301,0.39434084947377385,0.2677254894086795,0.27084085962224275,0.5660244133747059,0.4339755341009583,0.5114434119421709,0.38462211678865554,0.3857734387884174,0.3487231044559751,0.5431108211731315,0.4568891097027665,0.4925486228088329,0.41113752504466416,0.38013479732190797,0.31013283258858154
2016,7.265949215820577e-05,0.5507844352732406,0.4492155855014833,0.4711347651043481,0.3798985653898465,0.27482025032081414,0.2826717329775905,0.5733719768785746,0.42662798742637836,0.5198392886446255,0.38019929870454383,0.39550603936363765,0.34737803608493295,0.5478950833516829,0.4521048739710978,0.49835877522286076,0.409093611951476,0.38739150800743527,0.3092251552426534
2017,4.419247368093321e-05,0.5664460483480867,0.43355384213864157,0.48570751580671034,0.366040603342058,0.27895120045328237,0.30036870130894144,0.585976298634172,0.41402363889939714,0.5323190353696683,0.36919979451051804,0.4048423531453558,0.35296076461170156,0.560470794415487,0.43952913772722213,0.5106024072087259,0.39774847549865955,0.3963373159379091,0.3161642729768314
2018,7.02137600332442e-05,0.5603479327181423,0.43965206127762374,0.4790336061932927,0.3696621232759801,0.2701127480790899,0.29930650335439096,0.5847051367545677,0.41529495513197245,0.5316400479482197,0.3696550257599531,0.4073219534894526,0.35236364914119167,0.5608179418362007,0.4391821483122757,0.51122349556464,0.39641480616928526,0.3990374166847594,0.3146426487333058
2019,0.00012278849921626422,0.5573676079079691,0.44263244685240205,0.48047429966235544,0.3771585919814628,0.2729185868350401,0.3033444606542689,0.5813907966042886,0.4186092956925775,0.5326816182866022,0.3772070761237724,0.4110964236461837,0.357528261233394,0.556924425808389,0.44307565498975365,0.5114489044128374,0.4043438085810521,0.4020309131680972,0.31826213903943684
2020,8.585048203524348e-05,0.5658317144575389,0.4341684600745548,0.4900446360882397,0.372662838299096,0.2727419115648835,0.3151355484095089,0.5893662667014219,0.4106338291136491,0.5435195135682479,0.37368327915498867,0.4236139105985933,0.3652199156508295,0.565280674419825,0.4347193938384508,0.5222799640146643,0.4000472931421532,0.41357705897324304,0.3235412028477682
2021,8.227162871887739e-05,0.5666755066432988,0.4333243541774391,0.4844143058049285,0.36247556759016375,0.2548707149999569,0.31928391695801056,0.5991070156131963,0.40089287782459904,0.549962550421587,0.3587542719642124,0.4242855555152214,0.37871882778162175,0.5759630261257745,0.4240368773234207,0.5295913337839551,0.3841917366586369,0.4155785276762277,0.3278306889979538
2022,7.983647924525439e-05,0.5478461025737628,0.4521539019772607,0.46250608812595445,0.3721572873300352,0.24193927619363143,0.2980305490140348,0.5822147718336937,0.417785278991591,0.53127321090198,0.37032368653267134,0.4118471094831998,0.3507035117212007,0.5613924262764396,0.43860760232788903,0.5131430167425237,0.39356750804583557,0.40418525090074636,0.30469412048029004
2023,6.996069980624853e-05,0.5466350980327335,0.4533650170256333,0.471259810301701,0.3840564412100723,0.25515869383818074,0.30656217008151476,0.577942056826373,0.422058070447937,0.534718087989329,0.38259702306360815,0.42112278037199613,0.357745829168978,0.5580951177593768,0.4419049952187437,0.5169977029931295,0.40432110733862725,0.41293234951279323,0.3080731637271417
