release,year,ident_err,n_dropped,dropped_flow,lam_narrow13_world_comp_row0,lam_narrow13_world_comp_rowm,lam_narrow13_world_lab_row0,lam_narrow13_world_lab_rowm,hours_narrow13_world_h_row0,hours_narrow13_world_h_rowm,lam_narrow13_uspurch_comp_row0,lamUS_narrow13_comp_row0,lam_narrow13_uspurch_comp_rowm,lamUS_narrow13_comp_rowm,lam_narrow13_uspurch_lab_row0,lamUS_narrow13_lab_row0,lam_narrow13_uspurch_lab_rowm,lamUS_narrow13_lab_rowm,hours_narrow13_uspurch_h_row0,hours_narrow13_uspurch_h_rowm,go_item,inv_cat,map_dev,wbar,cover_share,lam_narrow_world_comp_row0,lam_narrow_world_comp_rowm,lam_narrow_world_lab_row0,lam_narrow_world_lab_rowm,hours_narrow_world_h_row0,hours_narrow_world_h_rowm,lam_narrow_uspurch_comp_row0,lamUS_narrow_comp_row0,lam_narrow_uspurch_comp_rowm,lamUS_narrow_comp_rowm,lam_narrow_uspurch_lab_row0,lamUS_narrow_lab_row0,lam_narrow_uspurch_lab_rowm,lamUS_narrow_lab_rowm,hours_narrow_uspurch_h_row0,hours_narrow_uspurch_h_rowm,lam_medium_world_comp_row0,lam_medium_world_comp_rowm,lam_medium_world_lab_row0,lam_medium_world_lab_rowm,hours_medium_world_h_row0,hours_medium_world_h_rowm,lam_medium_uspurch_comp_row0,lamUS_medium_comp_row0,lam_medium_uspurch_comp_rowm,lamUS_medium_comp_rowm,lam_medium_uspurch_lab_row0,lamUS_medium_lab_row0,lam_medium_uspurch_lab_rowm,lamUS_medium_lab_rowm,hours_medium_uspurch_h_row0,hours_medium_uspurch_h_rowm,hrel_narrow13_world_h_row0,hrel_narrow13_world_h_rowm,hrel_narrow13_uspurch_h_row0,hrel_narrow13_uspurch_h_rowm,hrel_narrow_world_h_row0,hrel_narrow_world_h_rowm,hrel_narrow_uspurch_h_row0,hrel_narrow_uspurch_h_rowm,hrel_medium_world_h_row0,hrel_medium_world_h_rowm,hrel_medium_uspurch_h_row0,hrel_medium_uspurch_h_rowm,thin_labor_excluded
wiod13,2005,1.9984014443252818e-15,20,0.0,0.47003606262349334,0.5288005437006852,0.5126793710229254,0.5794293026158147,0.08515216322958331,0.09722878732290563,0.507141698625156,0.3044503537098903,0.5604290310885695,0.3044503537098903,0.5364746619181464,0.3142490726322219,0.5970031602814365,0.3142490726322219,0.0663800167285605,0.07733103801387069,69.0,42,2.4419207592658817e-08,4.865969216487015,0.8855313055705557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4143478049924299,0.4731122860696217,0.3230031179910685,0.3762904504544819,,,,,,,,,False
wiod13,2006,1.9984014443252818e-15,19,0.0,0.46144010821498155,0.5186779226481409,0.5029165880803536,0.5678571734934893,0.08185294508001623,0.0928962572913446,0.5104687041850593,0.30723469957957567,0.5602611477792132,0.30723469957957567,0.5399877815369678,0.31758393928822415,0.5964810363577112,0.31758393928822415,0.06392221490526441,0.07352903700042542,69.0,42,6.889649122041474e-09,5.18302963258105,0.8800602220754111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42424623986375337,0.4814840542969125,0.3313107340341995,0.3811031776283534,,,,,,,,,False
wiod13,2007,1.9984014443252818e-15,19,1.9999999494757503e-05,0.44778681963865874,0.5037533378662832,0.49118125730534123,0.5549403310271901,0.0740807797525437,0.08384398665030761,0.49426267247079625,0.2916045699242833,0.5423696274459631,0.2916045699242833,0.5237640743112826,0.3018236192410637,0.5785692504403446,0.3018236192410637,0.060455907561007535,0.06884803502431891,69.0,42,2.0099366788588916e-08,5.732390884847758,0.8758743570093704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4246599865958958,0.4806265048235205,0.3465568934379183,0.39466384841308494,,,,,,,,,False
wiod13,2008,1.9984014443252818e-15,18,2.9999999242136255e-05,0.4436744900201303,0.5031860342592309,0.486181653515425,0.5538614268679786,0.06797580808689399,0.07765702573682992,0.4840260535305654,0.275130080544507,0.531754766327731,0.275130080544507,0.5123186914491304,0.28441071058714995,0.5665983863524081,0.28441071058714995,0.05646279036906609,0.06422720083175158,69.0,42,1.2602662508686398e-08,6.147113554408561,0.8643899530437591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4178550112628211,0.47736655550192164,0.3470831839974153,0.39481189679458095,,,,,,,,,False
wiod13,2009,2.1094237467877974e-15,21,0.684943976486291,0.4472990517553242,0.5082737085399901,0.4893606558506585,0.5586160600486403,0.07575803186988536,0.08608650779291471,0.483112073070038,0.28702687991446413,0.5250434859243447,0.28702687991446413,0.5103468573651678,0.2967263733629708,0.5579728236100119,0.2967263733629708,0.058747899784224726,0.06585064723574009,69.0,42,4.590057005464776e-09,5.903548329789011,0.8622054768865015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4472412025135644,0.5082158592982303,0.3468210656497721,0.3887524785040788,,,,,,,,,False
wiod13,2010,2.220446049250313e-15,21,0.9165339191655195,,,,,,,,,,,,,,,,,69.0,42,2.2447128177495087e-09,20.32295909395056,0.24484597744394504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
wiod13,2011,2.220446049250313e-15,21,0.9705987280216006,,,,,,,,,,,,,,,,,69.0,42,1.8680855878464742e-08,21.82306032274235,0.23727453596365214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
wiod16,2000,4.440892098500626e-15,138,6597.444357125482,,,,,,,,,,,,,,,,,,61,,9.646623416189923,0.899045503587325,0.49123248246829043,0.5543757573049687,0.5312136133318562,0.603288491731841,0.03259214372705979,0.0463458317666854,0.533773612172213,0.3734752661546509,0.5877939860810708,0.3734752661546509,0.5640450582026666,0.38361570330466654,0.6257066031680378,0.38361570330466654,0.02526994062453999,0.0341625459812752,0.5184026230161649,0.5744253668700076,0.5611574835779984,0.6251046333155302,0.03218681859796651,0.044116736935829376,0.5970295524884832,0.46867849411545254,0.641709737802662,0.46867849411545254,0.6265279019438978,0.4819125307612101,0.6775280905108936,0.4819125307612101,0.025819098727724216,0.03306189063845661,,,,,0.3144041368612825,0.4470807859633062,0.2437696009544165,0.32955321601963433,0.31049411797980103,0.42557754757106253,0.24906712237178388,0.31893560841644597,False
wiod16,2001,4.773959005888173e-15,137,5500.565735490032,,,,,,,,,,,,,,,,,,61,,9.538642582478046,0.8987375270664112,0.5085574457274005,0.5753025364208584,0.5499115278264195,0.6259562886248266,0.034289311450049924,0.04949037301001278,0.5601682347434531,0.398824765626407,0.6142699522500247,0.398824765626407,0.5922127231478073,0.4105542378445213,0.6538524950595037,0.4105542378445213,0.02653885013445341,0.03585449655057379,0.5312309183923607,0.5896306864982322,0.5753144170050564,0.6418510918399104,0.033630785636615326,0.046623639457576964,0.6096745431646338,0.4829044143199547,0.6535778490102562,0.4829044143199547,0.6398076107735644,0.4969295072150727,0.6898280146205383,0.4969295072150727,0.026520277518802503,0.03396282077451995,,,,,0.32707348632129823,0.47207097941603005,0.2531446059825005,0.34200322757061535,0.32079204395561,0.4447262326801472,0.25296744843998475,0.32395920846090603,False
wiod16,2002,5.551115123125783e-15,137,5707.964497404309,,,,,,,,,,,,,,,,,,61,,9.829433314232476,0.9041919043213551,0.4973863408247124,0.5612646997262913,0.5411369252797251,0.6140196061311363,0.03371541379397476,0.04908858353392204,0.533433842256333,0.36175467495282987,0.5905566097843414,0.36175467495282987,0.5662464622721171,0.37189977372125066,0.631421280578075,0.37189977372125066,0.02542445533388463,0.03623300292126843,0.515549323259396,0.570806079404926,0.5624911190414348,0.6255368921685112,0.03297999385240986,0.04598570077443931,0.5661179565182941,0.43212270554821636,0.611849914649612,0.43212270554821636,0.5968831700546642,0.44503124448849085,0.6490615253929781,0.44503124448849085,0.025428759309117824,0.03394121531441455,,,,,0.33140341154962866,0.48251295833681707,0.24990798825510116,0.35614988598899855,0.32417465027605974,0.4520133791705999,0.24995029389264195,0.33362291253704385,False
