release,year,country,h,comp,vintage
wiod13,1997,LUX,1.0764510132287875e-05,0.0002797793932460388,
wiod13,1997,LVA,2.0034649647077224e-05,4.132802277649835e-05,
wiod13,1997,MEX,0.001635295827389624,0.0029656089541058384,
wiod13,1997,MLT,9.994560514335417e-06,4.1894997381312884e-05,
wiod13,1997,NLD,0.0003269300937374841,0.00645768435912718,
wiod13,1997,POL,0.00053486923115052,0.0016458986931478848,
wiod13,1997,PRT,0.00014467293176875903,0.0011225659884477105,
wiod13,1997,ROU,0.0005778379397826783,0.0005200324717500063,
wiod13,1997,RUS,0.002800666452378983,0.003498489624786817,
wiod13,1997,SVK,0.00016203878838583446,0.00030420650699428066,
wiod13,1997,SVN,6.628123782370718e-05,0.0004591305011755526,
wiod13,1997,SWE,0.0003125043424093197,0.007048794289982749,
wiod13,1997,TUR,0.0006721438240871339,0.0017574548778778933,
wiod13,1997,TWN,0.0014051787134932024,0.009908168181003445,
wiod13,1997,USA,0.0067308998284473474,0.13271669435563307,
wiod13,1998,AUS,0.00023320126021712142,0.003039250333439429,
wiod13,1998,AUT,0.00021463998305070692,0.004483214997154383,
wiod13,1998,BEL,0.00016529544949524342,0.004230198472924498,
wiod13,1998,BGR,0.00013391300369967454,0.0001722879674861522,
wiod13,1998,BRA,0.002664529718483786,0.009159313344246195,
wiod13,1998,CAN,0.0005013016386107703,0.007237265501888178,
wiod13,1998,CHN,0.03891719317255491,0.0240398748695745,
wiod13,1998,CYP,2.70019082839535e-06,1.5056255685941108e-05,
wiod13,1998,CZE,0.00044998063267431083,0.001209453977734211,
wiod13,1998,DEU,0.0024047084734321158,0.062395471434770956,
wiod13,1998,DNK,0.0001340033656665231,0.0031524572255755326,
wiod13,1998,ESP,0.0004680807308868118,0.006389660178620704,
wiod13,1998,EST,2.4244415323562255e-05,5.911315667478865e-05,
wiod13,1998,FIN,0.00019263897296499673,0.0036773314370859666,
wiod13,1998,FRA,0.0009779457011115105,0.022115427713362664,
wiod13,1998,GBR,0.0013865891843576617,0.027559983269317533,
wiod13,1998,GRC,6.942691145528237e-05,0.000427727119817285,
wiod13,1998,HUN,0.0003001604712475707,0.0008612474869012426,
wiod13,1998,IDN,0.001595405621305721,0.0007150756058091135,
wiod13,1998,IND,0.009557479577842976,0.0031442306723226455,
wiod13,1998,IRL,0.00013265299590580878,0.0017940547437711716,
wiod13,1998,ITA,0.0017191481457968164,0.023358750966552697,
wiod13,1998,JPN,0.0057936074308405855,0.10750763548146536,
wiod13,1998,KOR,0.00233743362181608,0.009086033319949874,
wiod13,1998,LTU,3.5006376174068833e-05,6.820292748808092e-05,
wiod13,1998,LUX,1.1306791736054757e-05,0.0002862190593130022,
wiod13,1998,LVA,2.3589053641293017e-05,4.795373515587775e-05,
wiod13,1998,MEX,0.0019414388347793964,0.003623529172972613,
wiod13,1998,MLT,1.014801177524585e-05,4.639688875566801e-05,
wiod13,1998,NLD,0.0003309499012267537,0.006705827141560893,
wiod13,1998,POL,0.0005548026764949654,0.0018601671008766714,
wiod13,1998,PRT,0.0001490608099808752,0.001179287541109879,
wiod13,1998,ROU,0.0005413677802127363,0.0006586416734385097,
wiod13,1998,RUS,0.003472089485413917,0.0036259995039477273,
wiod13,1998,SVK,0.000159379566789653,0.0003180089865277998,
wiod13,1998,SVN,7.01224065443032e-05,0.0005045685944767982,
wiod13,1998,SWE,0.00032734432487532106,0.007328790935059629,
wiod13,1998,TUR,0.0007013417283259429,0.0018729415537645448,
wiod13,1998,TWN,0.0015312835655461325,0.009396807967391504,
wiod13,1998,USA,0.006828452821478292,0.14130371787295803,
wiod13,1999,AUS,0.00024712613797243455,0.003163602534450039,
wiod13,1999,AUT,0.00020425422200739582,0.004221195547403283,
wiod13,1999,BEL,0.00015898644774459556,0.004023904205463857,
wiod13,1999,BGR,0.00011957873597072242,0.0001454228939585385,
wiod13,1999,BRA,0.0025226794361434073,0.005449616550482058,
wiod13,1999,CAN,0.0004976644298050751,0.007380366958141205,
wiod13,1999,CHN,0.03723763382941658,0.02445693485749909,
wiod13,1999,CYP,3.5397519041518438e-06,1.920037392491291e-05,
wiod13,1999,CZE,0.0004186748406040933,0.0010875093063235559,
