year,owner_occupied_real_estate_market_value_b,owner_occupied_residential_structures_current_cost_b,land_site_residual_b,land_site_residual_share_property_value,structure_share_property_value,gross_imputed_owner_housing_services_b,land_residual_stock_to_annual_housing_services_ratio,gross_housing_services_yield_on_property_value,owner_housing_net_rental_income_b,net_rental_income_to_land_residual_ratio
1963,499.628,400.932,98.69599999999997,0.1975389689929307,0.8024610310070693,37.787,2.6119035647180238,0.07563026892007654,11.897,0.12054186593175006
1964,525.958,433.794,92.16399999999999,0.17523072184471003,0.82476927815529,39.991,2.3046185391713134,0.07603458831313527,11.995,0.1301484310576798
1965,551.656,461.79,89.86599999999993,0.16290224342706314,0.8370977565729368,42.668,2.106168557232585,0.07734530214481489,12.323,0.13712638817795395
1966,593.963,496.122,97.84099999999995,0.16472574891028557,0.8352742510897144,45.338,2.15803520225859,0.0763313539732273,12.803,0.13085516296848976
1967,628.853,530.712,98.14099999999996,0.1560634997368224,0.8439365002631776,48.329,2.030685509735355,0.07685261897454573,13.308,0.135600819229476
1968,709.959,587.54,122.41899999999998,0.17243108404851545,0.8275689159514845,51.883,2.3595204594954025,0.07307886793462721,12.962,0.10588225683921615
1969,774.881,627.482,147.399,0.19022146626385214,0.8097785337361478,56.627,2.6029809101665284,0.07307831783202841,13.196,0.0895257091296413
1970,815.704,662.218,153.486,0.18816384374724165,0.8118361562527584,61.3,2.5038499184339313,0.07514980924452988,13.188,0.08592314608498496
1971,898.91,741.278,157.63199999999995,0.17535904595565735,0.8246409540443427,67.344,2.340698503207412,0.0749173999621764,14.074,0.08928390174583843
1972,1036.675,825.257,211.418,0.20393855354860493,0.7960614464513951,73.716,2.8680069455749093,0.07110811006342392,13.712,0.06485729691889999
1973,1185.999,945.589,240.40999999999997,0.20270674764481247,0.7972932523551876,80.98,2.96875771795505,0.06827999011803551,13.002,0.05408260887650265
1974,1187.185,1068.344,118.8409999999999,0.10010318526598626,0.8998968147340137,89.677,1.3252115927160797,0.07553751100291868,13.306,0.11196472597840822
1975,1309.585,1157.381,152.20399999999995,0.11622307830343197,0.8837769216965681,98.778,1.5408694243657488,0.07542694823169172,12.497,0.08210690914824843
1976,1465.149,1297.729,167.41999999999985,0.11426824166006315,0.8857317583399369,108.67,1.5406275881107927,0.07416993083979856,10.66,0.06367220164854862
1977,1731.515,1525.65,205.865,0.11889299255276449,0.8811070074472355,121.336,1.6966522713786512,0.07007504988406106,5.728,0.027824059456439898
1978,2024.862,1778.531,246.33100000000013,0.12165322871385809,0.8783467712861419,138.123,1.7834176784460238,0.06821353751514918,5.75,0.023342575640094006
1979,2378.107,2074.957,303.1500000000001,0.12747534068063385,0.8725246593193662,156.871,1.93247955326351,0.06596465171668055,4.346,0.014336137225795806
1980,2671.308,2338.531,332.77700000000004,0.12457455299052002,0.87542544700948,178.387,1.8654778655395294,0.066778896330936,4.293,0.012900530986215993
1981,2963.63,2509.469,454.16100000000006,0.1532448382557877,0.8467551617442123,200.995,2.2595636707380784,0.06782054439994196,4.515,0.009941408443261308
1982,3107.702,2608.923,498.77900000000045,0.16049769250719678,0.8395023074928032,218.426,2.2835147830386515,0.07028537485254377,1.132,0.0022695422221063817
1983,3282.426,2720.724,561.7019999999998,0.1711240405724302,0.8288759594275698,235.901,2.3810920682828804,0.07186788064681428,0.426,0.0007584092632748329
1984,3763.349,2887.002,876.3470000000002,0.23286360101069556,0.7671363989893044,257.44,3.404082504661281,0.06840715543522538,-1.843,-0.002103048221766035
1985,4372.355,3046.413,1325.9419999999996,0.30325579693323157,0.6967442030667684,280.603,4.725330805443988,0.06417662792705534,-4.604,-0.003472248409055601
1986,4856.595,3297.809,1558.786,0.32096273211993176,0.6790372678800682,305.241,5.106738609819782,0.06285082449741021,-9.638,-0.006183016783573883
1987,5344.196,3534.331,1809.8649999999998,0.33865992190406186,0.6613400780959381,329.147,5.498652577723631,0.06158961984178724,-10.081,-0.00557002870379835
1988,5890.689,3779.939,2110.7500000000005,0.35831971438315624,0.6416802856168438,357.477,5.904575678994735,0.06068509133651428,-4.007,-0.001898377354021082
1989,6421.354,4017.703,2403.6510000000003,0.3743215215980929,0.6256784784019072,384.442,6.252311141862752,0.05986930482262775,-3.991,-0.001660390797166477
1990,6520.742,4184.18,2336.562,0.35832762590515005,0.64167237409485,412.808,5.6601664696420615,0.06330690587052823,-0.972,-0.00041599580922740335
1991,6681.254,4283.892,2397.362,0.3588191677789828,0.6411808322210172,436.345,5.4941892309984075,0.06530884771032504,4.589,0.0019141873442558948
1992,6951.899,4539.926,2411.973,0.34695167464314425,0.6530483253568558,462.602,5.213926874505515,0.06654325674179097,18.23,0.007558127723651965
1993,7271.709,4853.047,2418.6620000000003,0.3326125949209464,0.6673874050790536,488.51,4.9511002845386995,0.06717953097408051,40.65,0.016806813023068124
1994,7590.144,5236.658,2353.486,0.3100713240750109,0.6899286759249891,523.673,4.494190076631791,0.06899381619110256,59.879,0.02544268374657848
1995,7896.617,5484.922,2411.6950000000006,0.3054086325827884,0.6945913674172116,559.36,4.311525672196797,0.0708353969807577,66.291,0.027487306645326205
1996,8268.33,5802.519,2465.8109999999997,0.2982235832386951,0.7017764167613049,592.87,4.159109079562129,0.07170371767938628,80.43,0.032618071701359115
1997,8679.485,6129.543,2549.942000000001,0.29378955087773073,0.7062104491222693,629.509,4.0506839457418415,0.07252838158024352,83.02,0.03255760327097634
1998,9490.216,6546.662,2943.554,0.31016722907044475,0.6898327709295552,674.32,4.365218293985051,0.07105423101012664,99.451,0.03378602872581919
1999,10418.425,7071.3,3347.124999999999,0.32126976966288084,0.6787302303371192,718.919,4.65577485085246,0.06900457602756654,113.459,0.03389744930350675
2000,11952.508,7595.948,4356.5599999999995,0.36448919339773705,0.6355108066022629,768.887,5.666060162286525,0.06432850745634305,118.221,0.027136318563270107
2001,13666.517,8188.531,5477.986,0.4008326335085962,0.5991673664914038,829.184,6.606478176134609,0.060672664439666665,132.376,0.02416508548944813
2002,15092.024,8777.047,6314.976999999999,0.41843141781380677,0.5815685821861932,867.061,7.283198067956001,0.057451604900707824,143.12,0.022663582147646782
2003,16676.623,9574.002,7102.620999999999,0.4259028341649265,0.5740971658350735,908.151,7.820969200055937,0.054456528758850035,158.108,0.022260514815587093
2004,19347.648,10759.96,8587.688000000002,0.4438621169870364,0.5561378830129635,959.299,8.952045191332424,0.04958220244651959,166.694,0.019410812316423227
2005,22074.978,12053.364,10021.614,0.4539807015889212,0.5460192984110789,1029.105,9.738184150305361,0.04661861950666497,136.039,0.01357455994613243
2006,22863.405,12914.667,9948.738,0.4351380732659899,0.5648619267340101,1089.174,9.134204452181194,0.04763831109145816,97.735,0.009823859066345903
2007,22042.249,13073.488,8968.761,0.40688956013517497,0.593110439864825,1153.082,7.778077361367187,0.05231235705576142,100.55,0.011211136075540423
2008,19812.548,12787.654,7024.893999999998,0.35456792331809106,0.6454320766819089,1226.944,5.725521295185435,0.06192762283780966,181.128,0.02578373424566976
2009,18403.337,12496.138,5907.198999999999,0.32098521045395184,0.6790147895460481,1244.066,4.748300331332902,0.06760002275674244,242.66,0.041078690594307056
2010,17855.488,12528.761,5326.727000000001,0.29832435831493376,0.7016756416850662,1267.588,4.202254202469573,0.07099150692492974,311.377,0.05845559571571811
2011,17208.566,12641.102,4567.463999999998,0.26541804819762427,0.7345819518023757,1284.022,3.5571540051494432,0.07461528171493197,366.68,0.0802808735876189
2012,17595.001,13023.073,4571.928,0.2598424404749963,0.7401575595250037,1301.743,3.5121586979918464,0.07398368434306994,382.126,0.0835809312832573
2013,19294.505,14006.521,5287.984,0.2740668392373891,0.7259331607626109,1343.862,3.9349159363089363,0.06964998583793676,420.782,0.07957323622764365
2014,20619.682,14658.314,5961.368,0.2891105692124641,0.7108894307875359,1372.186,4.344431440052588,0.06654738904314819,429.413,0.0720326274103528
2015,22107.468,15121.484,6985.984,0.31600109067216564,0.6839989093278344,1411.219,4.950318837827439,0.0638344924891444,444.443,0.06361924104034593
2016,23793.108,16177.487,7615.621000000001,0.3200767634056047,0.6799232365943952,1470.707,5.178204088237834,0.06181231136344189,468.774,0.06155427114873494
2017,25598.264,16928.824,8669.439999999999,0.3386729662605245,0.6613270337394755,1533.227,5.65437472729087,0.05989574136746149,496.418,0.05726067658349329
2018,26577.03,17912.468,8664.561999999998,0.32601694019233896,0.673983059807661,1593.604,5.437086001290156,0.059961703772016664,513.441,0.05925758278375758
2019,27357.359,18608.464,8748.895,0.31980042371780115,0.6801995762821988,1665.418,5.253272751945758,0.06087641720094399,526.261,0.06015171058745132
2020,30884.864,20034.188,10850.676000000003,0.35132665631941923,0.6486733436805808,1770.647,6.128085383478471,0.057330574614154035,588.932,0.054276065380626966
2021,37515.783,23642.012,13873.771000000004,0.36981158036872114,0.6301884196312788,1869.405,7.421490260269981,0.04982982762215039,599.168,0.04318710464516099
2022,40098.741,26517.95,13580.791000000001,0.33868372575587846,0.6613162742441215,2028.71,6.694298840149652,0.0505928602596276,657.509,0.04841463210795306
2023,42898.669,26996.16,15902.509000000002,0.3706993566630238,0.6293006433369762,2221.43,7.158681119819217,0.05178319168830156,783.558,0.04927260220384091
2024,44998.946,27911.336,17087.610000000004,0.3797335608705147,0.6202664391294853,2374.185,7.197252952065658,0.05276090244424836,842.431,0.04930069213892404
2025,45992.696,28951.762,17040.934000000005,0.37051391812299944,0.6294860818770006,2500.256,6.815675674810902,0.054362023048181385,,
