year,gap_median,relsupply,CE_eff,HE_eff,D_KM141,gapcf_KM141,shortfall_KM141,D_GK164,gapcf_GK164,shortfall_GK164,D_CL250,gapcf_CL250,shortfall_CL250
2013,0.6490455618586457,0.5334305783595162,722351734.8741804,423723707.39387417,1.4485848205802068,,,1.5978652998076952,,,2.1560444830061307,,
2014,0.6396985869166136,0.5407814461132346,741580364.0712454,431817087.4921004,1.4427564536656599,,,1.589887128656481,,,2.1400279134047686,,
2015,0.6461058065730652,0.5750818143664954,769855232.8527393,433165847.1636189,1.4860910016345172,,,1.6346953371463222,,,2.190346330799158,,
2016,0.6549303110182367,0.5921080407693491,790884361.5553784,437485570.52087295,1.5155597793050628,0.6549303110182367,0.0,1.6661937508392572,0.6549303110182367,0.0,2.229433818314941,0.6549303110182367,0.0
2017,0.6379395708999644,0.6086458444911538,812792358.9411283,442229877.3486469,1.5081406394601036,0.6624942281650237,-0.024554657265059232,1.6548667407670954,0.6619919736307289,-0.024052402730764477,2.203494771741065,0.6609327843293623,-0.022993213429397863
2018,0.6271284190714045,0.6379512703011024,842622142.9365244,445219472.9374655,1.5222023411917827,0.6610030941854673,-0.033874675114062835,1.666441877578206,0.6612685008236211,-0.03414008175221661,2.205772317979614,0.6618282088052303,-0.034699789733825814
2019,0.6430428621820814,0.6554793778897114,858971365.0359482,445972017.18193924,1.5621698135664461,0.6678646681643079,-0.024821805982226497,1.7100696718683248,0.6677263196148912,-0.024683457432809752,2.2630865333449153,0.6674345605696341,-0.02439169838755273
2020,0.6233694635642815,0.746312652502895,851482696.8424747,403697779.14696157,1.6252635961285318,0.6227367619838757,0.0006327015804057368,1.7686385727483165,0.629485865830201,-0.006116402265919585,2.3047363114135986,0.6437188455242081,-0.020349381959926638
2021,0.6186448028722227,0.7517785239917039,874538685.993161,412368764.02255374,1.624067696041538,0.638153113338461,-0.019508310466238354,1.766356000702149,0.6432987066335443,-0.024653903761321594,2.2983905311722603,0.654150091728532,-0.035505288856309325
2022,0.6168530262970577,0.7438997770968725,911839458.7841177,433357995.32348585,1.6136625441757237,0.663033733050238,-0.04618070675318031,1.7555387402240472,0.6652485098659365,-0.048395483568878794,2.286032342839517,0.669919185286312,-0.053066158989254264
2023,0.6302728272284258,0.7742432286992589,938179593.939633,432550103.8587071,1.6629279150913392,0.6608064105654068,-0.030533583336980974,1.807890665353877,0.6638920945024642,-0.03361926727403841,2.3499252967703237,0.6703993994452049,-0.040126572216779066
2024,0.6325001917727161,0.7893380541253147,941299064.2609469,427486560.448423,1.6811633245248443,0.6693937165744269,-0.03689352480171082,1.826638368632569,0.6718336219294374,-0.039333430156721305,2.370588533557105,0.67697906407463,-0.04447887230191394
