year,lamC_min,lamC_med,lamC_max,lamC_IR_min,lamC_IR_med,lamC_IR_max,lamR_min,lamR_med,lamR_max
1989,0.6726308720529669,0.7412312290467518,0.8687163988983075,0.568691174183345,0.6623463290700851,0.8690302253076271,0.650978921676029,0.6944981284522005,0.7428123185633044
1990,0.6748739784557434,0.7421023241752942,0.8704705099965243,0.5713394477006081,0.6637534116155348,0.870817388142983,0.6541249288745,0.6971934095092261,0.7442976290500093
1991,0.6752394766767847,0.7425650651714469,0.8780382724091153,0.5716227699003967,0.664734524948691,0.8786552741088818,0.6553392799579942,0.6983184284635382,0.7451967897801438
1992,0.6820198706842546,0.750760156206126,0.8888041744858023,0.5834161404279833,0.6751523268973058,0.8885037708820769,0.6584343451702679,0.7021462958246298,0.7500723989144534
1993,0.6875363662034191,0.7519187692377098,0.8740492057075187,0.5950657990298248,0.6796109297960462,0.8740211138073675,0.6582549577263828,0.7007429989469502,0.7484984865913212
1994,0.6882433352016737,0.7515700390759382,0.8634493709625528,0.5982311130541665,0.6792851800174798,0.8629502922213215,0.656282760312008,0.6990873529128503,0.7456581919309522
1995,0.6814725945518982,0.7461705723333388,0.8600800133540303,0.5906980817669472,0.6737991832414602,0.8594702490930978,0.6522718936729645,0.6963883765998162,0.7437825041343431
1996,0.6796878500095846,0.7450457147501842,0.8559028165834682,0.5904861290572042,0.6735916817615876,0.85486198463873,0.6491455525182939,0.6946497385709987,0.7417951502655129
1997,0.6810164484351379,0.747487737323268,0.8571075889637874,0.5905564328713799,0.674070220287772,0.8557988966505656,0.6500266345638492,0.6954651314584182,0.7428639767729845
1998,0.6810802367630577,0.7493924124249853,0.8635819940981524,0.5910163522078107,0.675640388195798,0.8617778222844941,0.6548661070844315,0.7000434149879713,0.7480408748149199
1999,0.6988161242022873,0.760444782735157,0.8567177764799306,0.6093605606612692,0.6857938826925152,0.8545474519673714,0.6631893698777278,0.7077695790059257,0.7520285864896517
2000,0.7004233124065157,0.7615862017451105,0.8558775431382732,0.6103358143012437,0.6863191513332523,0.8536438675584345,0.6659460123848475,0.7095960677953599,0.7541539109354133
2001,0.7016471326398936,0.7621608504047046,0.8605258455202869,0.6095615489326318,0.6857491178449342,0.858642155758659,0.6757574211327616,0.7178151954080911,0.7608690157576742
2002,0.7058133228957674,0.7669383314983702,0.8696977309456532,0.6131030459732718,0.6884764477248345,0.8690113217767981,0.6776241453814776,0.7196199637427187,0.7610895971482738
2003,0.706200687127438,0.7662389556845619,0.8639978534576889,0.6152093526532155,0.6886954256319737,0.8635778979927279,0.668957323633855,0.7104598591070843,0.7535350237696118
2004,0.7070487499528171,0.7667140471155758,0.8614658872116714,0.6166968936302618,0.6895677659936302,0.8610180339854716,0.6626916459849074,0.7059298386020095,0.749608722659665
2005,0.7106514132664956,0.7657278842231153,0.8391702342922449,0.6148651184916283,0.684222047001443,0.8387079602598976,0.6520667193470886,0.6953442686222089,0.7388696781300618
2006,0.6987340004333008,0.7560600116189935,0.8374641664578232,0.597287867848449,0.6735354979156244,0.8374684719398711,0.6430587884271598,0.6883969718131924,0.733692018513115
2007,0.695539496219933,0.7499865605810998,0.8286856308636203,0.5927787560546607,0.668259691465206,0.8287278379344916,0.6446315375081527,0.6871261757751848,0.7310534887496122
2008,0.6878751060876347,0.7425785782841068,0.8304872823581506,0.5910112059020718,0.6650114762854804,0.830546088759954,0.6555304988509159,0.6952507108148975,0.7370004531389964
2009,0.6930848080973843,0.7460314532967813,0.8468385209952315,0.599352679148621,0.6713245131661522,0.8485561641483926,0.6584402662842357,0.6957196921839552,0.7362747387449521
2010,0.6919073715955343,0.7481566788590663,0.8494026608982562,0.6077015144207997,0.6778657083490891,0.850910532003209,0.6532919359496725,0.693984108264813,0.7374570142101778
2011,0.6810459036104842,0.7390989885545859,0.8448817768562383,0.6051992157817918,0.6759839264341436,0.8455965461411682,0.640987221708946,0.6847738216628727,0.7314101130834876
2012,0.6678023568101197,0.731001159311263,0.8505888225225521,0.5950900316679019,0.6716020721768753,0.850900184183464,0.632747570067945,0.6796996290499913,0.7290750525841793
2013,0.6864459522456005,0.7454650459262275,0.8364346429073618,0.6157457840988927,0.6829623536782312,0.8352992013248662,0.6503423861967904,0.695191372476432,0.7391092248813186
2014,0.6794454433655878,0.7394120996044373,0.8359184335793357,0.6107537786033348,0.6799503702292671,0.8346837339188027,0.64512789946989,0.6905203246149569,0.7360229067624207
2015,0.6781088309984505,0.7376146079001888,0.8383340686719398,0.6086494047689643,0.6787472712047457,0.8371083960082831,0.647873034565668,0.6922585455084556,0.7379980647370294
2016,0.680632552211593,0.7378103275513109,0.8321488422957715,0.6102878221922671,0.6780758018447376,0.8311046009411179,0.6498140002024035,0.6928849531624343,0.7368867037497715
2017,0.6762192502014718,0.7345747184030478,0.8335242736872619,0.6057844737179233,0.6753856302631738,0.8325633962355429,0.6547787161622045,0.6961785118139568,0.7398868623493597
2018,0.6719123334560364,0.7315953632354673,0.8388450610032895,0.6024720026761443,0.6744725577538275,0.8381901108940664,0.6552017133174372,0.6969933129842807,0.74180838132036
2019,0.6676522175469825,0.7301052996293168,0.8455037211457039,0.5967260624190247,0.6721594214041535,0.8450045991291386,0.6540761459986207,0.6972408549534734,0.7421633463477331
2020,0.6353422008870752,0.7247713534424978,0.9166374973203681,0.5607044936740572,0.6617899129614935,0.874132768683343,0.6469751213108388,0.698033798785045,0.7532070864239818
2021,0.6471509227519279,0.7218124549646814,0.8705538149720857,0.5767237847176241,0.6642037542066233,0.8728645530244574,0.6403373496668566,0.6894125859217551,0.7428098117591708
2022,0.6750544066250629,0.7272170942277087,0.7995712967248969,0.6076212940038062,0.6701667849417416,0.7977334871909164,0.6425465542865473,0.6860206367499191,0.7304529205485362
2023,0.6535092442250895,0.7122795907651678,0.8109174881346578,,,,0.634783069122036,0.6795748789591591,0.7262476598313363
2024,0.6542263439379747,0.7127194488106072,0.811885014133312,,,,0.6336452087295479,0.6783845932895366,0.7249893436709676
2025,0.6619890623966729,0.718096888329701,0.8084730152921765,,,,0.6384463895807719,0.6827824797174697,0.7285036509262042
