year,kappa_min,kappa_med,kappa_max,k_z1_hh_gs10_pc4,k_z1_hh_gs10_single,k_z1_hh_gs10p_pc4,k_z1_hh_gs10p_single,k_z1_econ_gs10_pc4,k_z1_econ_gs10_single,k_z1_econ_gs10p_pc4,k_z1_econ_gs10p_single,k_flow_ls30_pc4,k_flow_ls30_single,k_flow_ls50_pc4,k_flow_ls50_single
1973,0.07240499726836701,0.1589762552123163,0.40681678090777174,0.14258784628297336,0.07240499726836701,0.17384568616963175,0.08827748479522861,0.3336702215596557,0.16943513848029274,0.40681678090777174,0.20657839134407632,0.14851737194433984,0.07541596419511284,0.2475289532405664,0.1256932736585214
1974,0.06548092317042349,0.1497126895653309,0.41120307518494326,0.1289522016399644,0.06548092317042349,0.1545464196300335,0.07847746763031571,0.34310430479825654,0.17422569243651728,0.41120307518494326,0.20880571739910758,0.1448789595006283,0.07356840670746191,0.24146493250104717,0.12261401117910319
1975,0.06985288197228404,0.1536834302298952,0.43522449521760215,0.13756194147994552,0.06985288197228404,0.16339516992688366,0.08297079407975522,0.36641429834525396,0.18606232552336924,0.43522449521760215,0.22100360731179539,0.14397169053290673,0.07310770259528121,0.23995281755484457,0.12184617099213536
1976,0.06875044231236828,0.15487793963133684,0.4456630986051188,0.13539089662538,0.06875044231236828,0.1620718265493656,0.0822988106244181,0.3722962084012397,0.18904911361673338,0.4456630986051188,0.22630424877220964,0.14768405271330803,0.07499281118299148,0.24614008785551342,0.12498801863831913
1977,0.07191941261476137,0.16141581893180934,0.4625846185576103,0.1416315798295812,0.07191941261476137,0.17026651678265833,0.0864600104701551,0.3847884573501266,0.19539258029077863,0.4625846185576103,0.2348968647480853,0.15256512108096035,0.07747137966578638,0.25427520180160057,0.12911896610964396
1978,0.07990913860015145,0.18588535857754657,0.5464998901174225,0.1706654875149745,0.08666260469916238,0.2011052296401186,0.10211966855751477,0.46378043147200027,0.23550408922798974,0.5464998901174225,0.2775083857609249,0.1573658228187126,0.07990913860015145,0.262276371364521,0.13318189766691907
1979,0.07963043676739288,0.2237493422669271,0.6385443438357947,0.20728507867112672,0.10525774774079293,0.24021360586272747,0.12197859726276161,0.5510125626382903,0.27979988570333963,0.6385443438357947,0.32424784212960484,0.1568169726621292,0.07963043676739288,0.2613616211035487,0.1327173946123215
1980,0.07842410678467075,0.25358685228946876,0.7495483950300664,0.2497714785593447,0.12683201054117374,0.2824640804650181,0.14343305904132733,0.6627951085682532,0.33656219149374933,0.7495483950300664,0.38061483435942334,0.15444133561175571,0.07842410678467075,0.25740222601959284,0.13070684464111793
1981,0.07930377363411589,0.28743083902984423,0.8781186806631127,0.3145722249553865,0.15973732462020276,0.348492431324505,0.17696174110114476,0.792647765982228,0.40250035908967685,0.8781186806631127,0.44590182355750274,0.15617367186258113,0.07930377363411589,0.2602894531043019,0.13217295605685983
1982,0.08066404604556011,0.2870977864012242,0.8275430671248835,0.30944145747814616,0.15713196087526643,0.3451416640837521,0.17526024760616501,0.7419450024872102,0.3767538908733756,0.8275430671248835,0.4202199210984798,0.1588524691945813,0.08066404604556011,0.26475411532430215,0.1344400767426002
1983,0.08368066768563134,0.2730955039574001,0.7344875463808752,0.27153579002078426,0.13788375830925537,0.3082132943009443,0.15650830918398595,0.6470832370138531,0.32858382554859283,0.7344875463808752,0.37296705277262615,0.16479313073640958,0.08368066768563134,0.274655217894016,0.13946777947605224
