,pce,personal_saving,undistributed_corp_profits,hh_net_lending_financial,hh_loan_incurrence,personal_saving_over_pce,hh_loan_incurrence_over_pce,hh_net_lending_over_pce,undistributed_corp_profits_over_pce
1992,4197.559,450.497,128.259,439232.0,198467.0,0.10732356591056849,0.047281527192351555,0.10463986331103386,0.030555615775740133
1993,4451.984,392.588,135.355,292056.0,246034.0,0.08818270685608932,0.055263900319497995,0.06560131393104736,0.0304032988438413
1994,4720.965,357.2,179.793,325031.0,321525.0,0.0756624969683105,0.06810577922098553,0.06884842399805972,0.038083951056616605
1995,4962.59,379.04,217.734,332230.0,322909.0,0.07637947120354492,0.06506864359135048,0.066946896680967,0.04387507329841877
1996,5244.596,369.937,217.577,298206.0,343071.0,0.07053679635190205,0.06541419014925078,0.05685967041121948,0.04148594095712997
1997,5536.79,371.763,232.329,163454.0,340176.0,0.06714413947431634,0.06143920936138087,0.029521437511626773,0.041960955716218246
1998,5877.248,424.588,146.358,263432.0,442669.0,0.0722426550657723,0.07531909492333827,0.04482233861834655,0.024902471360745713
1999,6283.758,315.819,194.959,-446291.0,559758.0,0.050259573968316415,0.08908013325783712,-0.0710229451866224,0.031025860639445377
2000,6767.179,316.823,139.905,55752.0,573625.0,0.046817588244673296,0.08476574950950758,0.008238588043851065,0.020674050442584718
2001,7073.801,363.156,144.45,317919.0,629863.0,0.051338170242561244,0.08904166232553051,0.04494316421963241,0.020420421778899345
2002,7348.941,451.596,218.679,-87735.0,763820.0,0.06145048653948916,0.10393606371312548,-0.011938454805937346,0.02975653226771041
2003,7740.749,439.894,321.772,74086.0,1049342.0,0.05682835084821895,0.13556078358825485,0.009570908448265148,0.04156858722586148
2004,8231.96,417.049,430.205,-5103.0,1092860.0,0.05066217522922852,0.13275817666752512,-0.0006199009713361096,0.052260336541965706
2005,8769.066,209.175,747.217,-17267.0,1158259.0,0.023853737672860482,0.13208464846769313,-0.0019690808576420795,0.08521055720187302
2006,9277.236,275.95,747.626,-176271.0,1261885.0,0.02974485072924737,0.13601949977342387,-0.019000378992191206,0.08058714901722883
2007,9746.594,263.425,604.085,717229.0,901408.0,0.02702739028628873,0.09248441045148696,0.07358765533888044,0.061979087258584906
2008,10050.083,451.473,341.462,1139300.0,37207.0,0.044922315566946064,0.0037021584796861876,0.11336224785407244,0.03397603780983699
2009,9891.218,624.938,667.013,539947.0,54905.0,0.06318109660508948,0.0055508836222192244,0.054588524891474435,0.06743487000286516
2010,10260.256,671.425,970.479,1216825.0,-124630.0,0.06543940034244759,-0.012146870409471265,0.11859596875555543,0.09458623644478267
2011,10698.857,776.284,801.436,1458852.0,46027.0,0.0725576573273201,0.004302048340304016,0.13635587427703727,0.07490856266234795
2012,11047.363,976.525,935.462,1225856.0,46139.0,0.08839439783050489,0.004176471796934708,0.11096367522276583,0.08467740219996392
2013,11388.233,615.697,860.432,628247.0,314187.0,0.054064313577005314,0.027588740061781313,0.05516632826181199,0.07555447803008597
2014,11874.45,711.996,887.466,1156936.0,155807.0,0.0599603350049897,0.013121197192291009,0.09743070205356878,0.07473744047092708
2015,12297.438,790.573,712.72,1175930.0,362547.0,0.06428761828276751,0.02948150663577243,0.09562398281658342,0.0579567874219004
2016,12726.849,746.198,724.508,365231.0,442495.0,0.05863179487711373,0.034768621832474006,0.028697676856227334,0.05692752385134765
2017,13290.626,841.646,744.111,832975.0,570196.0,0.0633262872644223,0.04290211762786794,0.06267387254746315,0.05598765626239125
2018,13934.442,996.655,700.212,818121.0,483055.0,0.07152457199219028,0.034666260765949586,0.05871214649284127,0.05025045136360681
2019,14437.543,1178.158,661.452,1939051.0,548552.0,0.08160377427100995,0.03799483056085097,0.1343061627591343,0.04581472069035569
2020,14231.353,2661.768,719.534,2888976.0,584317.0,0.18703548425789174,0.041058429230165255,0.20300079690244494,0.050559774604705544
2021,16119.682,2177.188,1010.92,1582518.0,1220677.0,0.1350639547355835,0.0757258735004822,0.09817302847537562,0.06271339595905179
2022,17690.013,632.923,978.865,656022.0,1196523.0,0.03577854917347997,0.06763833356142814,0.037084314183375676,0.05533432903638907
2023,18833.15,1159.24,1087.767,1744818.0,554392.0,0.06155316556178865,0.029437029917990354,0.09264610540456587,0.05775810207002015
2024,19896.009,1193.23,1273.122,1928861.0,611696.0,0.059973334350622784,0.030744658388524054,0.09694713145736918,0.06398881303280472
2025,20954.857,1046.782,1257.781,1400550.0,674249.0,0.04995414666871742,0.03217626347915426,0.06683653341084599,0.06002336355719345
