,wages,supplements,proprietors,rental,interest,dividends,social_benefits,employee_comp,primary_legal_total,resources_before_tax_adjustment
1988,2439.7916666666665,508.205,325.524,22.492,720.069,127.971,476.864,2947.9966666666664,4144.0526666666665,4620.916666666666
1989,2583.0416666666665,556.55,341.13,21.524,802.26,157.486,521.07,3139.5916666666662,4461.991666666666,4983.061666666666
1990,2741.2000000000003,599.175,353.154,28.168,835.131,169.718,574.674,3340.375,4726.546,5301.22
1991,2814.4666666666667,636.038,354.162,38.577,827.689,181.009,650.507,3450.5046666666667,4851.941666666667,5502.448666666666
1992,2965.5499999999997,702.705,400.155,60.573,806.166,189.268,731.75,3668.2549999999997,5124.417,5856.167
1993,3079.3416666666667,737.949,427.984,90.079,796.828,205.12,778.935,3817.2906666666668,5337.301666666667,6116.236666666668
1994,3236.6,769.603,456.644,113.667,806.304,237.331,815.708,4006.203,5620.149,6435.857
1995,3418.0166666666664,780.066,481.186,124.882,869.355,259.194,864.727,4198.082666666666,5932.699666666666,6797.426666666666
1996,3616.475,800.473,543.784,142.528,886.403,302.416,906.325,4416.948,6292.079000000001,7198.404
1997,3876.8416666666667,831.974,583.958,147.059,928.763,337.753,935.418,4708.815666666666,6706.348666666666,7641.7666666666655
1998,4181.616666666667,889.522,640.276,165.206,994.038,358.44,957.915,5071.138666666667,7229.098666666666,8187.013666666666
1999,4457.916666666667,944.757,696.352,178.497,987.717,348.461,992.202,5402.673666666667,7613.700666666667,8605.902666666667
2000,4824.95,1022.2,753.559,183.476,1069.278,386.37,1044.876,5847.15,8239.833,9284.709
2001,4953.633333333333,1084.714,831.057,202.403,1087.525,374.41,1145.83,6038.347333333333,8533.742333333334,9679.572333333334
2002,4995.849999999999,1139.272,870.133,208.448,1001.156,401.476,1251.022,6135.121999999999,8616.335000000001,9867.357
2003,5138.266666666666,1215.337,897.509,227.098,1004.371,431.198,1320.994,6353.603666666666,8913.779666666665,10234.773666666666
2004,5421.025000000001,1298.474,962.895,242.781,939.342,559.365,1404.471,6719.499000000001,9423.882,10828.353
2005,5691.383333333334,1374.728,979.14,221.105,1081.326,555.028,1490.917,7066.111333333334,9902.710333333334,11393.627333333334
2006,6056.741666666666,1422.938,1050.869,181.12,1215.446,683.58,1593.029,7479.679666666666,10610.694666666666,12203.723666666667
2007,6396.383333333334,1482.083,995.398,186.259,1325.248,780.055,1697.335,7878.466333333334,11165.426333333333,12862.761333333332
2008,6534.091666666667,1522.73,960.304,290.275,1345.849,805.67,1919.349,8056.821666666667,11458.919666666667,13378.268666666667
2009,6249.108333333334,1509.91,938.126,347.592,1272.829,565.642,2107.728,7759.018333333333,10883.207333333334,12990.935333333335
2010,6372.516666666666,1552.859,1108.503,433.671,1211.054,536.625,2281.411,7925.375666666667,11215.228666666668,13496.639666666668
2011,6626.183333333333,1599.993,1228.337,506.541,1216.066,690.419,2310.139,8226.176333333333,11867.539333333332,14177.678333333333
2012,6928.116666666666,1639.238,1299.922,534.468,1271.809,831.742,2322.586,8567.354666666666,12505.295666666667,14827.881666666666
2013,7114.0,1721.044,1351.739,578.687,1201.595,781.648,2385.91,8835.044,12748.712999999998,15134.622999999998
2014,7476.316666666667,1773.876,1369.965,598.502,1260.374,917.027,2498.625,9250.192666666666,13396.060666666666,15894.685666666666
2015,7859.483333333334,1839.937,1347.722,601.351,1347.722,996.868,2635.146,9699.420333333333,13993.083333333334,16628.229333333333
2016,8091.25,1874.87,1349.214,618.723,1387.973,1027.446,2717.282,9966.119999999999,14349.475999999999,17066.757999999998
2017,8474.408333333333,1949.962,1428.634,642.028,1466.672,1144.294,2807.432,10424.370333333332,15105.998333333333,17913.430333333334
2018,8899.833333333334,2057.58,1495.331,671.488,1554.473,1234.903,2925.973,10957.413333333334,15913.608333333334,18839.581333333335
2019,9325.141666666666,2121.468,1555.775,688.432,1603.518,1346.503,3090.76,11446.609666666667,16640.837666666666,19731.59766666667
2020,9465.35,2132.796,1599.507,743.428,1505.907,1399.07,4187.512,11598.146,16846.058,21033.57
2021,10314.958333333334,2243.4,1818.662,776.719,1472.807,1771.449,4566.711,12558.358333333334,18397.995333333336,22964.706333333335
2022,11122.758333333333,2320.608,1868.919,871.106,1572.851,1961.748,4012.998,13443.366333333333,19717.99033333333,23730.98833333333
2023,11732.391666666668,2474.983,1941.958,1002.484,1829.749,2147.385,4150.561,14207.374666666668,21128.95066666667,25279.511666666673
2024,12387.941666666666,2639.13,2023.08,1078.149,1926.644,2218.7,4455.695,15027.071666666667,22273.644666666667,26729.339666666667
2025,12958.65,2768.254,2109.356,1114.51,1968.309,2247.946,4845.13,15726.903999999999,23167.024999999998,28012.155
