year,owner_occupied_real_estate_market_value_b,owner_occupied_residential_structures_current_cost_b,land_site_residual_b,land_site_residual_share_property_value,structure_share_property_value
1975,1309.585,1157.381,152.20399999999995,0.11622307830343197,0.8837769216965681
1976,1465.149,1297.729,167.41999999999985,0.11426824166006315,0.8857317583399369
1977,1731.515,1525.65,205.865,0.11889299255276449,0.8811070074472355
1978,2024.862,1778.531,246.33100000000013,0.12165322871385809,0.8783467712861419
1979,2378.107,2074.957,303.1500000000001,0.12747534068063385,0.8725246593193662
1980,2671.308,2338.531,332.77700000000004,0.12457455299052002,0.87542544700948
1981,2963.63,2509.469,454.16100000000006,0.1532448382557877,0.8467551617442123
1982,3107.702,2608.923,498.77900000000045,0.16049769250719678,0.8395023074928032
1983,3282.426,2720.724,561.7019999999998,0.1711240405724302,0.8288759594275698
1984,3763.349,2887.002,876.3470000000002,0.23286360101069556,0.7671363989893044
1985,4372.355,3046.413,1325.9419999999996,0.30325579693323157,0.6967442030667684
1986,4856.595,3297.809,1558.786,0.32096273211993176,0.6790372678800682
1987,5344.196,3534.331,1809.8649999999998,0.33865992190406186,0.6613400780959381
1988,5890.689,3779.939,2110.7500000000005,0.35831971438315624,0.6416802856168438
1989,6421.354,4017.703,2403.6510000000003,0.3743215215980929,0.6256784784019072
1990,6520.742,4184.18,2336.562,0.35832762590515005,0.64167237409485
1991,6681.254,4283.892,2397.362,0.3588191677789828,0.6411808322210172
1992,6951.899,4539.926,2411.973,0.34695167464314425,0.6530483253568558
1993,7271.709,4853.047,2418.6620000000003,0.3326125949209464,0.6673874050790536
1994,7590.144,5236.658,2353.486,0.3100713240750109,0.6899286759249891
1995,7896.617,5484.922,2411.6950000000006,0.3054086325827884,0.6945913674172116
1996,8268.33,5802.519,2465.8109999999997,0.2982235832386951,0.7017764167613049
1997,8679.485,6129.543,2549.942000000001,0.29378955087773073,0.7062104491222693
1998,9490.216,6546.662,2943.554,0.31016722907044475,0.6898327709295552
1999,10418.425,7071.3,3347.124999999999,0.32126976966288084,0.6787302303371192
2000,11952.508,7595.948,4356.5599999999995,0.36448919339773705,0.6355108066022629
2001,13666.517,8188.531,5477.986,0.4008326335085962,0.5991673664914038
2002,15092.024,8777.047,6314.976999999999,0.41843141781380677,0.5815685821861932
2003,16676.623,9574.002,7102.620999999999,0.4259028341649265,0.5740971658350735
2004,19347.648,10759.96,8587.688000000002,0.4438621169870364,0.5561378830129635
2005,22074.978,12053.364,10021.614,0.4539807015889212,0.5460192984110789
2006,22863.405,12914.667,9948.738,0.4351380732659899,0.5648619267340101
2007,22042.249,13073.488,8968.761,0.40688956013517497,0.593110439864825
2008,19812.548,12787.654,7024.893999999998,0.35456792331809106,0.6454320766819089
2009,18403.337,12496.138,5907.198999999999,0.32098521045395184,0.6790147895460481
2010,17855.488,12528.761,5326.727000000001,0.29832435831493376,0.7016756416850662
2011,17208.566,12641.102,4567.463999999998,0.26541804819762427,0.7345819518023757
2012,17595.001,13023.073,4571.928,0.2598424404749963,0.7401575595250037
2013,19294.505,14006.521,5287.984,0.2740668392373891,0.7259331607626109
2014,20619.682,14658.314,5961.368,0.2891105692124641,0.7108894307875359
2015,22107.468,15121.484,6985.984,0.31600109067216564,0.6839989093278344
2016,23793.108,16177.487,7615.621000000001,0.3200767634056047,0.6799232365943952
2017,25598.264,16928.824,8669.439999999999,0.3386729662605245,0.6613270337394755
2018,26577.03,17912.468,8664.561999999998,0.32601694019233896,0.673983059807661
2019,27357.359,18608.464,8748.895,0.31980042371780115,0.6801995762821988
2020,30884.864,20034.188,10850.676000000003,0.35132665631941923,0.6486733436805808
2021,37515.783,23642.012,13873.771000000004,0.36981158036872114,0.6301884196312788
2022,40098.741,26517.95,13580.791000000001,0.33868372575587846,0.6613162742441215
2023,42898.669,26996.16,15902.509000000002,0.3706993566630238,0.6293006433369762
2024,44998.946,27911.336,17087.610000000004,0.3797335608705147,0.6202664391294853
2025,45992.696,28951.762,17040.934000000005,0.37051391812299944,0.6294860818770006
