year,pce_b,dpi_b,minimum_intertemporal_share_pce,current_labor_origin_share_pce_central,current_ownership_property_origin_share_pce_central,current_fiscal_nonlabor_unresolved_share_pce_central,labor_financing_capacity_lower_share_pce,labor_financing_capacity_upper_share_pce,tier
1981,1933.951,2257.42,0.07549156553217386,0.7122926034016854,0.1920466597139158,0.020169171352224704,0.6251992670386307,0.9191509432862583,WEAK
1982,2071.256,2434.718,0.07284011072177578,0.7062428953627645,0.2010948446467862,0.019822149268673633,0.616818250334429,0.9144939227270105,WEAK
1983,2281.605,2628.837,0.0830075229493748,0.6959255287511386,0.2011539694824934,0.019912978816993374,0.6082062383767047,0.8934128315059962,WEAK
1984,2492.34,2910.758,0.07969514259028768,0.6935168299959348,0.2076662540482436,0.019121773365533952,0.6016936117187813,0.8991318322481023,WEAK
1985,2712.83,3105.08,0.09013737328717746,0.6863030489087331,0.2048406648538344,0.018718912950255084,0.5978359687773978,0.8817840043698161,WEAK
1986,2886.278,3293.387,0.08900170287626682,0.6891993435849016,0.2028623129123546,0.018936640626476875,0.6012411089894438,0.8817353438402361,WEAK
1987,3076.279,3457.219,0.09375815586970027,0.6920637924501826,0.19533121033671033,0.01884684134340678,0.6105003964890728,0.8766588707784645,WEAK
1988,3330.012,3774.082,0.09026362791909308,0.691631100021705,0.19926858425309701,0.01883668780610491,0.6074352711443305,0.8803404703775359,WEAK
1989,3576.758,4053.277,0.09112063002293078,0.6830134384825957,0.20638905219889384,0.019476879295579883,0.597679147680213,0.8706122239220759,WEAK
1990,3808.994,4318.635,0.08794598944990673,0.6865081520522205,0.20482839752367035,0.02071746097420238,0.6002679332331904,0.8731228395997014,WEAK
1991,3943.449,4501.012,0.08523733052030921,0.6906727304847923,0.20069253087713984,0.02339740811775871,0.6031309099824301,0.883354987752672,WEAK
1992,4197.559,4804.692,0.08349598716896736,0.6973740100387983,0.19389261510019434,0.025237387692039995,0.6096172674510776,0.8941519471341639,WEAK
1993,4451.984,5004.111,0.09095218045773831,0.6913455226698059,0.19173331571364569,0.025968981158810044,0.6052938819922746,0.8783516510676838,WEAK
1994,4720.965,5247.849,0.09624632786922796,0.6851011305742795,0.19253357777652486,0.026118963779967627,0.6012146234530205,0.8661564186517962,WEAK
1995,4962.59,5534.953,0.09524845285587911,0.6811326671817935,0.1971724676615791,0.026446412300748273,0.5951547565707201,0.8633953800659867,WEAK
1996,5244.596,5829.114,0.09713559009698673,0.6771057526301628,0.19967163470122226,0.026087022571628232,0.5909115483451894,0.857215167449161,WEAK
1997,5536.79,6142.153,0.09822212861776039,0.676437057769763,0.20021878688659195,0.02512202672588476,0.5898716628399208,0.8550874499926151,WEAK
1998,5877.248,6555.937,0.09739082611279075,0.6765496872921575,0.20193729282449943,0.02412219377055246,0.5900495585889628,0.8585120786267928,WEAK
1999,6283.758,6866.685,0.10938787594419368,0.674379647214602,0.19248958913603675,0.023742887705167807,0.5857508899748571,0.8494764039477639,WEAK
2000,6767.179,7384.97,0.11457090461476617,0.6700036865009494,0.19235192502275528,0.02307348386152903,0.5985963249629754,0.8473459858762339,STRONG_TIMING
2001,7073.801,7754.096,0.13128105120303088,0.6572865419257039,0.18718888016538296,0.024243526705882375,0.5791314263677763,0.8524480036231895,STRONG_TIMING
2002,7348.941,8097.871,0.11059311738411609,0.6770823585679879,0.18542125277846272,0.026903271269433284,0.6018818816293194,0.8636287585605988,STRONG_TIMING
2003,7740.749,8478.217,0.13451046345638343,0.6582303147723355,0.17992841716610194,0.027330804605179008,0.5781464699423119,0.8583645637246516,STRONG_TIMING
2004,8231.96,8967.128,0.09922558540128962,0.684210382628129,0.18681901609791893,0.029745015872662615,0.6130624346992974,0.8535756588651126,STRONG_TIMING
2005,8769.066,9333.646,0.11305311743790097,0.6736444552658614,0.18329119615327238,0.03001123114296515,0.6053570033719567,0.8343680995592699,STRONG_TIMING
2006,9277.236,9945.033,0.11713497117677235,0.6632826409821794,0.1900251949907162,0.02955719285033177,0.5908019293274807,0.8311468323856739,STRONG_TIMING
2007,9746.594,10439.63,0.10769985400021961,0.6659675833076912,0.1957379626520615,0.030594600040027613,0.5952860879648525,0.8250926585708841,STRONG_TIMING
2008,10050.083,10918.179,0.1047081635171063,0.6618131100982183,0.19842785153862164,0.03505087484605373,0.5836411975690735,0.8318094952676214,STRONG_TIMING
2009,9891.218,10913.304,0.08284052523348989,0.6872784586538566,0.1912500144302041,0.03863100168244955,0.6100395896371466,0.8578031038871613,STRONG_TIMING
2010,10260.256,11319.008,0.08179553831969168,0.6848196769483218,0.19137019490410792,0.04201458982787855,0.6044950741331614,0.8565712584241628,STRONG_TIMING
2011,10698.857,11855.88,0.09463374755230707,0.6657161068255907,0.19927711481763297,0.0403730308044694,0.5792212009946657,0.8481062722593434,STRONG_TIMING
2012,11047.363,12408.28,0.09042747821427184,0.6630790308060184,0.2082553247702488,0.03823816620946089,0.5736622179518823,0.8507767409249677,STRONG_TIMING
2013,11388.233,12391.235,0.09315413106338738,0.6670690400298465,0.20118013167155485,0.038596697235211405,0.588326761224958,0.8316378052401572,STRONG_TIMING
2014,11874.45,12998.394,0.0993285187945547,0.6580474945953382,0.2034752181931314,0.03914876841697565,0.5744740853577126,0.8315389854642428,STRONG_TIMING
2015,12297.438,13532.854,0.09021257368409498,0.6640505792470228,0.20550994500644593,0.0402269020624363,0.5809448748050097,0.8352832954356135,STRONG_TIMING
2016,12726.849,13928.899,0.09074778126559206,0.6633408906692476,0.2051619705986065,0.04074935746655388,0.5815886777585801,0.8305771393617842,STRONG_TIMING
2017,13290.626,14613.927,0.09577517995760922,0.6564557056323186,0.2081625441189565,0.039606570291115556,0.57184663599072,0.8298027608381511,STRONG_TIMING
2018,13934.442,15454.039,0.09948763782398141,0.6520355508503988,0.20929788591829127,0.03917892540732863,0.5634191903512417,0.8345563938923981,STRONG_TIMING
2019,14437.543,16164.498,0.09303400579323069,0.656029074650122,0.211438221834927,0.0394986977217204,0.5658152405328875,0.8416752073206872,STRONG_TIMING
2020,14231.353,17383.429,0.059398958353096054,0.6821710974086215,0.20781515641993076,0.05061478781835172,0.5636580201010007,0.9278482390136251,STRONG_TIMING
2021,16119.682,18800.904,0.07544016960666015,0.6631870877278998,0.2051483447249535,0.056224397940486615,0.5504553575813713,0.8816738592497048,STRONG_TIMING
2022,17690.013,18910.518,0.11215388493901463,0.6380743638871281,0.2046707988227811,0.045100952351076175,0.5527480956878995,0.8031369693876735,STRONG_TIMING
2023,18833.15,20749.273,0.10620150797928124,0.6391001106575931,0.21275002141724844,0.04194835994587725,0.5469786554086131,0.8211355514197171,STRONG_TIMING
2024,19896.009,21917.657,0.0964266728475508,0.6474358264838743,0.21274083451022768,0.043396666158347114,0.5467842922317894,0.8232976358686408,WEAK
2025,20954.857,22866.177,0.10074481792002235,0.6415781842786906,0.21292838910233874,0.044748608698948374,0.5411629488681416,0.8132437310406414,WEAK
