Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,0-10%,0.012
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,10-20%,0.027
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,20-30%,0.037
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,30-40%,0.049
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,40-50%,0.064
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,50-60%,0.086
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,60-70%,0.107
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,70-80%,0.133
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,80-90%,0.169
2000,Equivalized Disposable Personal Income,Compensation of employees,23.0,90-100%,0.317
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,0-10%,0.012
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,10-20%,0.029
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,20-30%,0.039
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,30-40%,0.051
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,40-50%,0.068
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,50-60%,0.091
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,60-70%,0.113
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,70-80%,0.141
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,80-90%,0.181
2000,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,90-100%,0.275
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-10%,0.020
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,0-20%,0.058
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,10-20%,0.038
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-30%,0.047
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,20-40%,0.104
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,30-40%,0.057
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-50%,0.068
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,40-60%,0.149
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,50-60%,0.081
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-70%,0.095
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,60-80%,0.209
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,70-80%,0.113
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-100%,0.480
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,80-90%,0.143
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,90-100%,0.337
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Bottom 5%,0.007
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 50/10 Ratio,2.18
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 80/20 Ratio,2.83
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/10 Ratio,4.98
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized 90/50 Ratio,2.28
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Equivalized Gini,0.416
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean ($2017),92448.65
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Mean (Nominal),68247.44
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median ($2017),66723.16
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Median (Nominal),49256.37
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 1%,0.128
2000,Equivalized Disposable Personal Income,Disposable personal income,13.0,Top 5%,0.244
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,0-10%,0.075
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,10-20%,0.117
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,20-30%,0.131
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,30-40%,0.132
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,40-50%,0.124
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,50-60%,0.104
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,70-80%,0.079
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,80-90%,0.073
2000,Equivalized Disposable Personal Income,Government social benefits,30.0,90-100%,0.075
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,0-10%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,10-20%,0.112
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,20-30%,0.126
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,30-40%,0.129
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,40-50%,0.120
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,50-60%,0.102
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,70-80%,0.081
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,80-90%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts,29.0,90-100%,0.087
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,0-10%,0.018
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,10-20%,0.033
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,20-30%,0.042
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,30-40%,0.052
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,40-50%,0.062
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,50-60%,0.076
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,70-80%,0.111
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,80-90%,0.144
2000,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31.0,90-100%,0.372
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,0-10%,0.148
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,10-20%,0.048
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,20-30%,0.074
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,30-40%,0.095
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,40-50%,0.070
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,50-60%,0.079
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,60-70%,0.101
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,70-80%,0.114
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,80-90%,0.117
2000,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32.0,90-100%,0.154
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,0-10%,0.004
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,10-20%,0.007
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,20-30%,0.010
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,30-40%,0.016
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,40-50%,0.029
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,50-60%,0.038
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,60-70%,0.053
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,70-80%,0.077
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,80-90%,0.128
2000,Equivalized Disposable Personal Income,Household dividend income,28.0,90-100%,0.639
2000,Equivalized Disposable Personal Income,Household income,22.0,0-10%,0.018
2000,Equivalized Disposable Personal Income,Household income,22.0,10-20%,0.034
2000,Equivalized Disposable Personal Income,Household income,22.0,20-30%,0.042
2000,Equivalized Disposable Personal Income,Household income,22.0,30-40%,0.052
2000,Equivalized Disposable Personal Income,Household income,22.0,40-50%,0.063
2000,Equivalized Disposable Personal Income,Household income,22.0,50-60%,0.076
2000,Equivalized Disposable Personal Income,Household income,22.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Household income,22.0,70-80%,0.111
2000,Equivalized Disposable Personal Income,Household income,22.0,80-90%,0.143
2000,Equivalized Disposable Personal Income,Household income,22.0,90-100%,0.371
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,0-10%,0.009
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,10-20%,0.011
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,20-30%,0.016
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,30-40%,0.024
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,40-50%,0.036
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,50-60%,0.050
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,60-70%,0.064
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,70-80%,0.086
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,80-90%,0.132
2000,Equivalized Disposable Personal Income,Household income receipts on assets,26.0,90-100%,0.572
2000,Equivalized Disposable Personal Income,Household interest income,27.0,0-10%,0.010
2000,Equivalized Disposable Personal Income,Household interest income,27.0,10-20%,0.013
2000,Equivalized Disposable Personal Income,Household interest income,27.0,20-30%,0.018
2000,Equivalized Disposable Personal Income,Household interest income,27.0,30-40%,0.027
2000,Equivalized Disposable Personal Income,Household interest income,27.0,40-50%,0.039
2000,Equivalized Disposable Personal Income,Household interest income,27.0,50-60%,0.054
2000,Equivalized Disposable Personal Income,Household interest income,27.0,60-70%,0.068
2000,Equivalized Disposable Personal Income,Household interest income,27.0,70-80%,0.090
2000,Equivalized Disposable Personal Income,Household interest income,27.0,80-90%,0.133
2000,Equivalized Disposable Personal Income,Household interest income,27.0,90-100%,0.548
2000,Equivalized Disposable Personal Income,Personal income,1.0,0-10%,0.018
2000,Equivalized Disposable Personal Income,Personal income,1.0,0-20%,0.051
2000,Equivalized Disposable Personal Income,Personal income,1.0,10-20%,0.033
2000,Equivalized Disposable Personal Income,Personal income,1.0,20-30%,0.042
2000,Equivalized Disposable Personal Income,Personal income,1.0,20-40%,0.094
2000,Equivalized Disposable Personal Income,Personal income,1.0,30-40%,0.052
2000,Equivalized Disposable Personal Income,Personal income,1.0,40-50%,0.063
2000,Equivalized Disposable Personal Income,Personal income,1.0,40-60%,0.138
2000,Equivalized Disposable Personal Income,Personal income,1.0,50-60%,0.076
2000,Equivalized Disposable Personal Income,Personal income,1.0,60-70%,0.091
2000,Equivalized Disposable Personal Income,Personal income,1.0,60-80%,0.201
2000,Equivalized Disposable Personal Income,Personal income,1.0,70-80%,0.111
2000,Equivalized Disposable Personal Income,Personal income,1.0,80-100%,0.515
2000,Equivalized Disposable Personal Income,Personal income,1.0,80-90%,0.143
2000,Equivalized Disposable Personal Income,Personal income,1.0,90-100%,0.372
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,0-10%,-0.003
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,10-20%,0.003
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,20-30%,0.005
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,30-40%,0.009
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,40-50%,0.019
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,50-60%,0.025
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,60-70%,0.038
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,70-80%,0.060
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,80-90%,0.109
2000,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24.0,90-100%,0.734
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,0-10%,0.024
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,10-20%,0.042
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,20-30%,0.052
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,30-40%,0.059
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,40-50%,0.064
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,50-60%,0.070
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,60-70%,0.081
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,70-80%,0.094
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,80-90%,0.110
2000,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25.0,90-100%,0.404
2000,Equivalized Disposable Personal Income,Taxes,12.0,0-10%,0.002
2000,Equivalized Disposable Personal Income,Taxes,12.0,10-20%,0.007
2000,Equivalized Disposable Personal Income,Taxes,12.0,20-30%,0.012
2000,Equivalized Disposable Personal Income,Taxes,12.0,30-40%,0.018
2000,Equivalized Disposable Personal Income,Taxes,12.0,40-50%,0.029
2000,Equivalized Disposable Personal Income,Taxes,12.0,50-60%,0.045
2000,Equivalized Disposable Personal Income,Taxes,12.0,60-70%,0.064
2000,Equivalized Disposable Personal Income,Taxes,12.0,70-80%,0.094
2000,Equivalized Disposable Personal Income,Taxes,12.0,80-90%,0.146
2000,Equivalized Disposable Personal Income,Taxes,12.0,90-100%,0.583
2000,Equivalized Personal Income,Compensation of employees,23.0,0-10%,0.011
2000,Equivalized Personal Income,Compensation of employees,23.0,10-20%,0.024
2000,Equivalized Personal Income,Compensation of employees,23.0,20-30%,0.035
2000,Equivalized Personal Income,Compensation of employees,23.0,30-40%,0.047
2000,Equivalized Personal Income,Compensation of employees,23.0,40-50%,0.065
2000,Equivalized Personal Income,Compensation of employees,23.0,50-60%,0.086
2000,Equivalized Personal Income,Compensation of employees,23.0,60-70%,0.109
2000,Equivalized Personal Income,Compensation of employees,23.0,70-80%,0.134
2000,Equivalized Personal Income,Compensation of employees,23.0,80-90%,0.171
2000,Equivalized Personal Income,Compensation of employees,23.0,90-100%,0.318
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,0-10%,0.012
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,10-20%,0.026
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,20-30%,0.036
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,30-40%,0.049
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,40-50%,0.069
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,50-60%,0.091
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,60-70%,0.115
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,70-80%,0.143
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,80-90%,0.183
2000,Equivalized Personal Income,"Contributions for government social insurance, domestic",33.0,90-100%,0.276
2000,Equivalized Personal Income,Disposable personal income,13.0,0-10%,0.020
2000,Equivalized Personal Income,Disposable personal income,13.0,0-20%,0.058
2000,Equivalized Personal Income,Disposable personal income,13.0,10-20%,0.038
2000,Equivalized Personal Income,Disposable personal income,13.0,20-30%,0.047
2000,Equivalized Personal Income,Disposable personal income,13.0,20-40%,0.104
2000,Equivalized Personal Income,Disposable personal income,13.0,30-40%,0.057
2000,Equivalized Personal Income,Disposable personal income,13.0,40-50%,0.069
2000,Equivalized Personal Income,Disposable personal income,13.0,40-60%,0.150
2000,Equivalized Personal Income,Disposable personal income,13.0,50-60%,0.081
2000,Equivalized Personal Income,Disposable personal income,13.0,60-70%,0.096
2000,Equivalized Personal Income,Disposable personal income,13.0,60-80%,0.209
2000,Equivalized Personal Income,Disposable personal income,13.0,70-80%,0.113
2000,Equivalized Personal Income,Disposable personal income,13.0,80-100%,0.478
2000,Equivalized Personal Income,Disposable personal income,13.0,80-90%,0.143
2000,Equivalized Personal Income,Disposable personal income,13.0,90-100%,0.335
2000,Equivalized Personal Income,Government social benefits,30.0,0-10%,0.079
2000,Equivalized Personal Income,Government social benefits,30.0,10-20%,0.128
2000,Equivalized Personal Income,Government social benefits,30.0,20-30%,0.140
2000,Equivalized Personal Income,Government social benefits,30.0,30-40%,0.139
2000,Equivalized Personal Income,Government social benefits,30.0,40-50%,0.122
2000,Equivalized Personal Income,Government social benefits,30.0,50-60%,0.100
2000,Equivalized Personal Income,Government social benefits,30.0,60-70%,0.086
2000,Equivalized Personal Income,Government social benefits,30.0,70-80%,0.073
2000,Equivalized Personal Income,Government social benefits,30.0,80-90%,0.066
2000,Equivalized Personal Income,Government social benefits,30.0,90-100%,0.066
2000,Equivalized Personal Income,Household current transfer receipts,29.0,0-10%,0.080
2000,Equivalized Personal Income,Household current transfer receipts,29.0,10-20%,0.122
2000,Equivalized Personal Income,Household current transfer receipts,29.0,20-30%,0.136
2000,Equivalized Personal Income,Household current transfer receipts,29.0,30-40%,0.134
2000,Equivalized Personal Income,Household current transfer receipts,29.0,40-50%,0.118
2000,Equivalized Personal Income,Household current transfer receipts,29.0,50-60%,0.099
2000,Equivalized Personal Income,Household current transfer receipts,29.0,60-70%,0.087
2000,Equivalized Personal Income,Household current transfer receipts,29.0,70-80%,0.076
2000,Equivalized Personal Income,Household current transfer receipts,29.0,80-90%,0.070
2000,Equivalized Personal Income,Household current transfer receipts,29.0,90-100%,0.078
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,0-10%,0.018
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,10-20%,0.033
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,20-30%,0.042
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,30-40%,0.051
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,40-50%,0.063
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,50-60%,0.076
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,60-70%,0.091
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,70-80%,0.111
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,80-90%,0.144
2000,Equivalized Personal Income,Household current transfer receipts from business (net),31.0,90-100%,0.372
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,0-10%,0.145
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,10-20%,0.047
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,20-30%,0.092
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,30-40%,0.071
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,40-50%,0.079
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,50-60%,0.084
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,60-70%,0.110
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,70-80%,0.122
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,80-90%,0.112
2000,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32.0,90-100%,0.137
2000,Equivalized Personal Income,Household dividend income,28.0,0-10%,0.004
2000,Equivalized Personal Income,Household dividend income,28.0,10-20%,0.006
2000,Equivalized Personal Income,Household dividend income,28.0,20-30%,0.009
2000,Equivalized Personal Income,Household dividend income,28.0,30-40%,0.017
2000,Equivalized Personal Income,Household dividend income,28.0,40-50%,0.028
2000,Equivalized Personal Income,Household dividend income,28.0,50-60%,0.039
2000,Equivalized Personal Income,Household dividend income,28.0,60-70%,0.053
2000,Equivalized Personal Income,Household dividend income,28.0,70-80%,0.077
2000,Equivalized Personal Income,Household dividend income,28.0,80-90%,0.128
2000,Equivalized Personal Income,Household dividend income,28.0,90-100%,0.638
2000,Equivalized Personal Income,Household income,22.0,0-10%,0.018
2000,Equivalized Personal Income,Household income,22.0,10-20%,0.033
2000,Equivalized Personal Income,Household income,22.0,20-30%,0.042
2000,Equivalized Personal Income,Household income,22.0,30-40%,0.051
2000,Equivalized Personal Income,Household income,22.0,40-50%,0.063
2000,Equivalized Personal Income,Household income,22.0,50-60%,0.076
2000,Equivalized Personal Income,Household income,22.0,60-70%,0.091
2000,Equivalized Personal Income,Household income,22.0,70-80%,0.111
2000,Equivalized Personal Income,Household income,22.0,80-90%,0.144
2000,Equivalized Personal Income,Household income,22.0,90-100%,0.370
2000,Equivalized Personal Income,Household income receipts on assets,26.0,0-10%,0.008
2000,Equivalized Personal Income,Household income receipts on assets,26.0,10-20%,0.011
2000,Equivalized Personal Income,Household income receipts on assets,26.0,20-30%,0.016
2000,Equivalized Personal Income,Household income receipts on assets,26.0,30-40%,0.025
2000,Equivalized Personal Income,Household income receipts on assets,26.0,40-50%,0.037
2000,Equivalized Personal Income,Household income receipts on assets,26.0,50-60%,0.050
2000,Equivalized Personal Income,Household income receipts on assets,26.0,60-70%,0.064
2000,Equivalized Personal Income,Household income receipts on assets,26.0,70-80%,0.085
2000,Equivalized Personal Income,Household income receipts on assets,26.0,80-90%,0.131
2000,Equivalized Personal Income,Household income receipts on assets,26.0,90-100%,0.573
2000,Equivalized Personal Income,Household interest income,27.0,0-10%,0.010
2000,Equivalized Personal Income,Household interest income,27.0,10-20%,0.012
2000,Equivalized Personal Income,Household interest income,27.0,20-30%,0.018
2000,Equivalized Personal Income,Household interest income,27.0,30-40%,0.028
2000,Equivalized Personal Income,Household interest income,27.0,40-50%,0.040
2000,Equivalized Personal Income,Household interest income,27.0,50-60%,0.054
2000,Equivalized Personal Income,Household interest income,27.0,60-70%,0.068
2000,Equivalized Personal Income,Household interest income,27.0,70-80%,0.088
2000,Equivalized Personal Income,Household interest income,27.0,80-90%,0.132
2000,Equivalized Personal Income,Household interest income,27.0,90-100%,0.549
2000,Equivalized Personal Income,Personal income,1.0,0-10%,0.018
2000,Equivalized Personal Income,Personal income,1.0,0-20%,0.051
2000,Equivalized Personal Income,Personal income,1.0,10-20%,0.033
2000,Equivalized Personal Income,Personal income,1.0,20-30%,0.042
2000,Equivalized Personal Income,Personal income,1.0,20-40%,0.093
2000,Equivalized Personal Income,Personal income,1.0,30-40%,0.051
2000,Equivalized Personal Income,Personal income,1.0,40-50%,0.063
2000,Equivalized Personal Income,Personal income,1.0,40-60%,0.139
2000,Equivalized Personal Income,Personal income,1.0,50-60%,0.076
2000,Equivalized Personal Income,Personal income,1.0,60-70%,0.091
2000,Equivalized Personal Income,Personal income,1.0,60-80%,0.202
2000,Equivalized Personal Income,Personal income,1.0,70-80%,0.111
2000,Equivalized Personal Income,Personal income,1.0,80-100%,0.515
2000,Equivalized Personal Income,Personal income,1.0,80-90%,0.144
2000,Equivalized Personal Income,Personal income,1.0,90-100%,0.372
2000,Equivalized Personal Income,Personal income,1.0,Bottom 5%,0.006
2000,Equivalized Personal Income,Personal income,1.0,Equivalized 50/10 Ratio,2.31
2000,Equivalized Personal Income,Personal income,1.0,Equivalized 80/20 Ratio,3.17
2000,Equivalized Personal Income,Personal income,1.0,Equivalized 90/10 Ratio,5.80
2000,Equivalized Personal Income,Personal income,1.0,Equivalized 90/50 Ratio,2.51
2000,Equivalized Personal Income,Personal income,1.0,Equivalized Gini,0.459
2000,Equivalized Personal Income,Personal income,1.0,Mean ($2017),107925.63
2000,Equivalized Personal Income,Personal income,1.0,Mean (Nominal),79672.86
2000,Equivalized Personal Income,Personal income,1.0,Median ($2017),72253.64
2000,Equivalized Personal Income,Personal income,1.0,Median (Nominal),53339.08
2000,Equivalized Personal Income,Personal income,1.0,Top 1%,0.150
2000,Equivalized Personal Income,Personal income,1.0,Top 5%,0.277
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,0-10%,-0.003
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,10-20%,0.003
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,20-30%,0.005
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,30-40%,0.010
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,40-50%,0.020
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,50-60%,0.027
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,60-70%,0.038
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,70-80%,0.062
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,80-90%,0.111
2000,Equivalized Personal Income,Proprietors' income with inventory valuation,24.0,90-100%,0.728
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,0-10%,0.024
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,10-20%,0.043
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,20-30%,0.052
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,30-40%,0.058
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,40-50%,0.063
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,50-60%,0.071
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,60-70%,0.079
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,70-80%,0.094
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,80-90%,0.110
2000,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25.0,90-100%,0.406
2000,Equivalized Personal Income,Taxes,12.0,0-10%,0.002
2000,Equivalized Personal Income,Taxes,12.0,10-20%,0.006
2000,Equivalized Personal Income,Taxes,12.0,20-30%,0.010
2000,Equivalized Personal Income,Taxes,12.0,30-40%,0.017
2000,Equivalized Personal Income,Taxes,12.0,40-50%,0.028
2000,Equivalized Personal Income,Taxes,12.0,50-60%,0.044
2000,Equivalized Personal Income,Taxes,12.0,60-70%,0.064
2000,Equivalized Personal Income,Taxes,12.0,70-80%,0.093
2000,Equivalized Personal Income,Taxes,12.0,80-90%,0.147
2000,Equivalized Personal Income,Taxes,12.0,90-100%,0.589
2000,,Compensation of employees,23.0,Total ($Billions),5847
2000,,"Contributions for government social insurance, domestic",33.0,Total ($Billions),706
2000,,Disposable personal income,13.0,Total ($Billions),7385
2000,,Government social benefits,30.0,Total ($Billions),1033
2000,,Household current transfer receipts,29.0,Total ($Billions),1108
2000,,Household current transfer receipts from business (net),31.0,Total ($Billions),31
2000,,Household current transfer receipts from nonprofit institutions,32.0,Total ($Billions),44
2000,,Household dividend income,28.0,Total ($Billions),376
2000,,Household income,22.0,Total ($Billions),8594
2000,,Household income receipts on assets,26.0,Total ($Billions),1411
2000,,Household interest income,27.0,Total ($Billions),1035
2000,,Personal income,1.0,Total ($Billions),8621
2000,,Proprietors' income with inventory valuation,24.0,Total ($Billions),754
2000,,Rental income of households with capital consumption adjustment,25.0,Total ($Billions),180
2000,,Taxes,12.0,Total ($Billions),1236
2000,,Unweighted Observations,,Total,78000
2000,,Weighted Observations,,Total,108208744
2001,Equivalized Disposable Personal Income,Compensation of employees,23.0,0-10%,0.011
