Year,Ranking,Income Concept,"NIPA Table 2.9, line Number",Quantile or Summary Metric,Value
2004,Equivalized Personal Income,Taxes,12.0,30-40%,0.016
2004,Equivalized Personal Income,Taxes,12.0,40-50%,0.027
2004,Equivalized Personal Income,Taxes,12.0,50-60%,0.043
2004,Equivalized Personal Income,Taxes,12.0,60-70%,0.064
2004,Equivalized Personal Income,Taxes,12.0,70-80%,0.095
2004,Equivalized Personal Income,Taxes,12.0,80-90%,0.149
2004,Equivalized Personal Income,Taxes,12.0,90-100%,0.591
2004,,Compensation of employees,23.0,Total ($Billions),6719
2004,,"Contributions for government social insurance, domestic",33.0,Total ($Billions),829
2004,,Disposable personal income,13.0,Total ($Billions),8967
2004,,Government social benefits,30.0,Total ($Billions),1387
2004,,Household current transfer receipts,29.0,Total ($Billions),1456
2004,,Household current transfer receipts from business (net),31.0,Total ($Billions),7
2004,,Household current transfer receipts from nonprofit institutions,32.0,Total ($Billions),62
2004,,Household dividend income,28.0,Total ($Billions),544
2004,,Household income,22.0,Total ($Billions),10008
2004,,Household income receipts on assets,26.0,Total ($Billions),1462
2004,,Household interest income,27.0,Total ($Billions),918
2004,,Personal income,1.0,Total ($Billions),10016
2004,,Proprietors' income with inventory valuation,24.0,Total ($Billions),963
2004,,Rental income of households with capital consumption adjustment,25.0,Total ($Billions),238
2004,,Taxes,12.0,Total ($Billions),1049
2004,,Unweighted Observations,,Total,76387
2004,,Weighted Observations,,Total,113343252
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,0-10%,0.010
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,10-20%,0.025
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,20-30%,0.035
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,30-40%,0.047
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,40-50%,0.063
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,50-60%,0.084
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,60-70%,0.108
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,70-80%,0.135
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,80-90%,0.177
2005,Equivalized Disposable Personal Income,Compensation of employees,23.0,90-100%,0.317
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,0-10%,0.010
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,10-20%,0.027
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,20-30%,0.036
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,30-40%,0.048
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,40-50%,0.065
2005,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33.0,50-60%,0.088
