year,dpi,pce,personal_saving,personal_interest_payments,personal_transfer_payments,outlays_implied,outlays_components,identity_residual,pce_share_dpi,personal_saving_share_dpi,personal_interest_payments_share_dpi,personal_transfer_payments_share_dpi
1997,6142.153,5536.79,371.763,169.739,63.862,5770.39,5770.391,-0.0009999999992942321,0.9014412372990382,0.06052649616510692,0.02763509798599937,0.010397331359215571
1998,6555.937,5877.248,424.588,184.572,69.529,6131.349,6131.349,0.0,0.896477193115187,0.06476389263655219,0.028153412700579642,0.010605501547681131
1999,6866.685,6283.758,315.819,190.777,76.331,6550.866,6550.866,0.0,0.9151079451001465,0.04599293545575485,0.02778298407455708,0.011116135369541489
2000,7384.97,6767.179,316.823,217.745,83.222,7068.147,7068.146,0.0010000000002037268,0.9163448192748244,0.042901054438948295,0.029484886194527535,0.011269104681535604
2001,7754.096,7073.801,363.156,225.645,91.494,7390.94,7390.9400000000005,-9.094947017729282e-13,0.9122663686392328,0.04683408613976407,0.029100103996649,0.0117994412243542
2002,8097.871,7348.941,451.596,200.588,96.746,7646.275,7646.275,0.0,0.9075151975130253,0.05576725042915601,0.024770461273092643,0.011947090784726009
2003,8478.217,7740.749,439.894,196.48,101.094,8038.323,8038.322999999999,1.8189894035458565e-12,0.9130161447861029,0.05188520180599293,0.02317468401669832,0.01192396939120572
2004,8967.128,8231.96,417.049,207.268,110.851,8550.079000000002,8550.079,1.8189894035458565e-12,0.9180152218190706,0.04650864803089684,0.023114201113221534,0.012361929036810894
2005,9333.646,8769.066,209.175,237.307,118.098,9124.471000000001,9124.471000000001,0.0,0.9395113120853309,0.02241085637916844,0.02542489826590809,0.01265293326959261
2006,9945.033,9277.236,275.95,266.919,124.929,9669.082999999999,9669.084,-0.0010000000020227162,0.9328512032086773,0.02774751979204091,0.02683942828545667,0.012561949266533355
2007,10439.63,9746.594,263.425,291.243,138.369,10176.205,10176.206,-0.0010000000002037268,0.9336148886502682,0.025233173972640795,0.027897827796579,0.013254205369347382
2008,10918.179,10050.083,451.473,271.998,144.624,10466.706,10466.705,0.0010000000002037268,0.9204907704847118,0.041350576868175545,0.024912396105614316,0.013246164951133335
2009,10913.304,9891.218,624.938,252.838,144.31,10288.366,10288.366,0.0,0.9063449529125186,0.05726386802750111,0.02316786923556789,0.013223309824412478
2010,11319.008,10260.256,671.425,242.333,144.994,10647.583,10647.583,0.0,0.9064624744500578,0.059318360760943004,0.021409384992041706,0.012809779796957473
2011,11855.88,10698.857,776.284,229.945,150.794,11079.596,11079.596,0.0,0.9024093529961504,0.06547670860366334,0.019395017493429423,0.012718920906756817
2012,12408.28,11047.363,976.525,229.605,154.787,11431.755000000001,11431.755,1.8189894035458565e-12,0.8903218657219211,0.07869946519582086,0.018504176243605074,0.012474492838652899
2013,12391.235,11388.233,615.697,229.501,157.804,11775.538,11775.538,0.0,0.9190555259423294,0.04968810614922564,0.018521236987273666,0.012735130921171295
2014,12998.394,11874.45,711.996,243.729,168.219,12286.398000000001,12286.398,1.8189894035458565e-12,0.9135320871178394,0.05477568998139308,0.01875070104814487,0.012941521852622716
2015,13532.854,12297.438,790.573,263.485,181.358,12742.280999999999,12742.281,-1.8189894035458565e-12,0.9087098700687971,0.05841879325676609,0.01947002457870306,0.013401312095733834
2016,13928.899,12726.849,746.198,272.765,183.087,13182.701,13182.701,0.0,0.9137010039343383,0.053571929841691006,0.019582667660954393,0.013144398563016359
2017,14613.927,13290.626,841.646,290.384,191.271,13772.280999999999,13772.281,-1.8189894035458565e-12,0.9094493218694742,0.05759204900914039,0.019870360649810282,0.013088268471575093
2018,15454.039,13934.442,996.655,321.327,201.615,14457.384,14457.383999999998,1.8189894035458565e-12,0.901669912959324,0.06449155460265112,0.020792428438934314,0.013046103999090465
2019,16164.498,14437.543,1178.158,341.2,207.596,14986.34,14986.339,0.0010000000002037268,0.8931637097545497,0.07288552975786813,0.021107986155833605,0.0128427124677797
2020,17383.429,14231.353,2661.768,287.652,202.655,14721.661,14721.66,0.0010000000038417056,0.8186735194765082,0.15312099816440128,0.016547483238203462,0.011657941594837243
2021,18800.904,16119.682,2177.188,278.456,226.957,16623.716,16625.094999999998,-1.379000000000815,0.8573886659918056,0.11580230397431955,0.014810777183905628,0.012071600386875015
2022,18910.518,17690.013,632.923,334.163,252.628,18277.595,18276.804,0.7910000000010768,0.93545893348876,0.03346936345159873,0.017670748099020875,0.013359126386701834
2023,20749.273,18833.15,1159.24,491.574,263.685,19590.033,19588.409000000003,1.6239999999961583,0.9076534874258004,0.055868945384255145,0.02369114329933391,0.012708156088167522
2024,21917.657,19896.009,1193.23,551.025,273.893,20724.427,20720.927,3.5,0.9077616736131968,0.05444149436228517,0.02514068908004172,0.01249645434272468
2025,22866.177,20954.857,1046.782,577.725,286.812,21819.395,21819.394,0.0010000000002037268,0.9164127873233904,0.04577861878704079,0.025265482725861873,0.012543067430992073
